gene_symbol	tier	surface_verdict_bucket	papers_found	papers_selected	papers_with_ec	n_filters_evidence	n_det_features	evidence_grade
CEACAM8	likely	surface_yes	305.0	34	32	15	5	direct_multi_method
CELSR1	canonical	surface_yes	278.0	20	18	19	6	direct_multi_method
CELSR2	canonical	surface_yes	218.0	18	17	18	5	direct_multi_method
CELSR3	canonical	surface_yes	223.0	17	14	20	6	direct_multi_method
CEMIP	likely	surface_yes	228.0	22	17	17	5	supportive_but_indirect
CEMIP2	canonical	surface_yes	189.0	22	20	18	5	direct_multi_method
CERCAM	low	surface_yes	292.0	1	1	12	5	weak
CFAP95	likely	surface_yes	139.0	1	1	14	4	supportive_but_indirect
CFC1	canonical	surface_yes	328.0	5	2	17	5	weak
CFC1B	low	surface_yes	36.0	1	0	14	3	weak
CFHR2	low	surface_yes	214.0	21	19	14	4	weak
CFP	likely	surface_yes	341.0	5	5	16	3	supportive_but_indirect
CFTR	canonical	surface_yes	334.0	36	28	17	5	direct_multi_method
CHAT	low	surface_yes	313.0	5	3	15	2	weak
CHGB	likely	surface_yes	286.0	8	7	14	4	supportive_but_indirect
CHL1	likely	surface_yes	298.0	11	7	17	6	supportive_but_indirect
CHMP6	low	surface_yes	227.0	9	7	13	2	weak
CHRFAM7A	canonical	surface_yes	290.0	16	12	19	4	direct_single_method
CHRM1	canonical	surface_yes	364.0	12	8	19	6	supportive_but_indirect
CHRM2	canonical	surface_yes	239.0	12	10	15	5	direct_single_method
CHRM3	canonical	surface_yes	381.0	19	15	18	5	direct_multi_method
CHRM4	canonical	surface_yes	209.0	27	24	18	5	direct_multi_method
CHRM5	canonical	surface_yes	250.0	13	12	19	5	direct_single_method
CHRNA1	likely	surface_yes	236.0	28	25	20	7	direct_single_method
CHRNA10	canonical	surface_yes	164.0	23	21	19	6	direct_multi_method
CHRNA2	canonical	surface_yes	220.0	14	12	20	7	direct_single_method
CHRNA3	canonical	surface_yes	268.0	17	14	19	7	direct_multi_method
CHRNA4	canonical	surface_yes	291.0	26	21	19	7	direct_multi_method
CHRNA5	canonical	surface_yes	222.0	24	19	18	6	direct_single_method
CHRNA6	likely	surface_yes	200.0	17	15	20	7	direct_multi_method
CHRNA7	canonical	surface_yes	257.0	29	27	20	7	direct_multi_method
CHRNA9	canonical	surface_yes	182.0	35	29	22	6	direct_multi_method
CHRNB1	likely	surface_yes	232.0	26	24	19	7	direct_multi_method
CHRNB2	canonical	surface_yes	209.0	22	16	19	6	direct_multi_method
CHRNB3	likely	surface_yes	168.0	12	10	21	6	direct_multi_method
CHRNB4	canonical	surface_yes	206.0	22	20	21	7	direct_multi_method
CHRND	likely	surface_yes	212.0	24	24	19	7	direct_multi_method
CHRNE	likely	surface_yes	327.0	6	5	18	6	direct_multi_method
CHRNG	likely	surface_yes	205.0	18	15	19	7	direct_multi_method
CHST15	canonical	surface_yes	197.0	17	16	15	4	direct_multi_method
CIROP	low	surface_yes	58.0	2	1	14	4	weak
CIROZ	low	surface_yes	57.0	2	0	15	4	weak
CIST1	low	surface_yes	18.0	0	0	11	2	weak
CKAP4	likely	surface_yes	317.0	21	18	19	4	direct_multi_method
CKAP5	low	surface_yes	263.0	3	2	13	2	weak
CKLF	low	surface_yes	284.0	11	9	16	5	weak
CLCA1	likely	surface_yes	265.0	25	20	17	4	direct_single_method
CLCA2	likely	surface_yes	257.0	18	17	19	5	direct_single_method
CLCA4	canonical	surface_yes	270.0	5	3	19	5	direct_single_method
CLCC1	low	surface_yes	147.0	10	10	15	4	conflicting
CLCN1	likely	surface_yes	267.0	24	19	15	5	direct_multi_method
CLCN2	canonical	surface_yes	224.0	29	27	18	6	direct_multi_method
CLCN3	low	surface_yes	226.0	27	20	19	6	direct_multi_method
CLCN5	low	surface_yes	219.0	23	17	17	6	supportive_but_indirect
CLCN7	likely	surface_yes	226.0	18	15	17	6	direct_single_method
CLCNKA	canonical	surface_yes	168.0	22	18	17	5	direct_multi_method
CLCNKB	likely	surface_yes	203.0	26	24	17	6	direct_multi_method
CLDN1	canonical	surface_yes	330.0	24	18	18	5	direct_multi_method
CLDN10	canonical	surface_yes	338.0	20	15	17	6	supportive_but_indirect
CLDN11	likely	surface_yes	311.0	17	14	18	5	direct_single_method
CLDN12	canonical	surface_yes	196.0	19	17	18	4	direct_single_method
CLDN14	canonical	surface_yes	206.0	22	21	19	4	direct_multi_method
CLDN15	canonical	surface_yes	216.0	31	22	19	5	direct_multi_method
CLDN16	likely	surface_yes	211.0	19	16	21	5	direct_multi_method
CLDN17	canonical	surface_yes	126.0	9	8	17	4	direct_multi_method
CLDN18	canonical	surface_yes	265.0	33	27	17	6	direct_multi_method
CLDN19	likely	surface_yes	204.0	22	18	17	7	supportive_but_indirect
CLDN2	canonical	surface_yes	269.0	37	27	21	6	supportive_but_indirect
CLDN20	canonical	surface_yes	118.0	11	7	18	5	supportive_but_indirect
CLDN22	canonical	surface_yes	115.0	9	7	19	4	supportive_but_indirect
CLDN23	canonical	surface_yes	162.0	12	9	17	4	supportive_but_indirect
CLDN24	canonical	surface_yes	86.0	6	3	18	4	supportive_but_indirect
CLDN25	canonical	surface_yes	78.0	8	7	15	4	supportive_but_indirect
CLDN3	canonical	surface_yes	264.0	31	29	22	5	direct_multi_method
CLDN34	low	surface_yes	53.0	4	2	14	3	weak
CLDN4	canonical	surface_yes	281.0	28	21	17	4	direct_multi_method
CLDN5	canonical	surface_yes	289.0	34	31	20	4	direct_multi_method
CLDN6	canonical	surface_yes	212.0	32	28	18	5	direct_multi_method
CLDN7	canonical	surface_yes	305.0	29	25	18	6	direct_single_method
CLDN8	canonical	surface_yes	264.0	29	28	20	5	direct_multi_method
CLDN9	canonical	surface_yes	211.0	25	24	19	5	direct_multi_method
CLDND1	canonical	surface_yes	154.0	12	11	16	5	supportive_but_indirect
CLEC10A	canonical	surface_yes	274.0	23	21	17	5	direct_multi_method
CLEC12A	canonical	surface_yes	248.0	34	34	21	6	direct_multi_method
CLEC12B	likely	surface_yes	174.0	13	10	16	7	direct_multi_method
CLEC14A	likely	surface_yes	223.0	21	21	20	5	direct_multi_method
CLEC17A	likely	surface_yes	116.0	4	3	14	5	direct_single_method
CLEC1A	canonical	surface_yes	149.0	11	11	18	6	direct_multi_method
CLEC1B	canonical	surface_yes	238.0	29	23	22	6	direct_multi_method
CLEC20A	uncertain	surface_yes	14.0	0	0	11	2	weak
CLEC2A	likely	surface_yes	278.0	4	3	14	5	direct_single_method
CLEC2B	canonical	surface_yes	200.0	12	11	18	3	direct_multi_method
CLEC2D	canonical	surface_yes	192.0	25	25	19	6	direct_multi_method
CLEC2L	likely	surface_yes	71.0	1	1	13	5	supportive_but_indirect
CLEC3A	likely	surface_yes	132.0	7	6	19	4	supportive_but_indirect
CLEC4A	canonical	surface_yes	207.0	25	25	20	5	direct_multi_method
CLEC4C	likely	surface_yes	300.0	21	18	18	4	direct_multi_method
CLEC4D	likely	surface_yes	332.0	11	9	18	4	direct_single_method
CLEC4E	canonical	surface_yes	252.0	31	28	20	4	direct_multi_method
CLEC4F	low	surface_yes	253.0	3	0	12	5	weak
CLEC4G	likely	surface_yes	211.0	25	22	20	6	direct_multi_method
CLEC4M	likely	surface_yes	210.0	22	17	18	5	direct_multi_method
CLEC5A	canonical	surface_yes	225.0	22	21	15	6	direct_multi_method
CLEC6A	canonical	surface_yes	242.0	19	18	20	6	direct_multi_method
CLEC7A	canonical	surface_yes	283.0	35	32	23	5	direct_multi_method
CLEC9A	likely	surface_yes	244.0	36	32	17	6	direct_multi_method
CLECL1	likely	surface_yes	147.0	5	3	13	2	direct_single_method
CLIC1	likely	surface_yes	299.0	15	14	18	4	direct_multi_method
CLIC2	low	surface_yes	181.0	11	9	17	3	supportive_but_indirect
CLIC3	likely	surface_yes	207.0	12	9	18	4	supportive_but_indirect
CLIC4	likely	surface_yes	346.0	6	5	15	4	direct_single_method
CLIC5	low	surface_yes	206.0	22	21	20	4	conflicting
CLIC6	low	surface_yes	210.0	13	10	20	5	conflicting
CLMP	canonical	surface_yes	333.0	4	4	18	6	direct_single_method
CLN3	low	surface_yes	252.0	13	11	15	5	weak
CLN5	low	surface_yes	208.0	17	14	17	3	weak
CLNS1A	low	surface_yes	207.0	13	9	13	3	supportive_but_indirect
CLPTM1	low	surface_yes	159.0	12	7	16	5	supportive_but_indirect
CLPTM1L	likely	surface_yes	164.0	10	10	15	5	direct_multi_method
CLRN1	likely	surface_yes	207.0	16	14	17	7	supportive_but_indirect
CLRN2	likely	surface_yes	74.0	6	5	14	6	weak
CLRN3	likely	surface_yes	106.0	7	2	12	6	direct_multi_method
CLSTN1	canonical	surface_yes	262.0	5	5	21	6	direct_single_method
CLSTN2	likely	surface_yes	323.0	7	6	17	5	direct_single_method
CLSTN3	likely	surface_yes	212.0	19	17	19	6	supportive_but_indirect
CLTRN	likely	surface_yes	212.0	16	14	20	4	direct_single_method
CLUL1	low	surface_yes	102.0	3	2	14	3	weak
CMKLR1	canonical	surface_yes	246.0	28	24	17	7	direct_multi_method
CMKLR2	canonical	surface_yes	178.0	17	16	17	4	direct_multi_method
CMTM1	low	surface_yes	123.0	3	2	16	4	weak
CMTM2	likely	surface_yes	153.0	6	6	16	5	supportive_but_indirect
CMTM4	canonical	surface_yes	168.0	14	11	14	5	supportive_but_indirect
CMTM5	likely	surface_yes	152.0	11	9	16	5	supportive_but_indirect
CMTM6	canonical	surface_yes	191.0	27	27	17	4	direct_multi_method
CMTM7	canonical	surface_yes	152.0	11	10	15	5	direct_single_method
CMTM8	canonical	surface_yes	131.0	7	1	15	5	supportive_but_indirect
CNGA1	likely	surface_yes	286.0	8	6	17	5	supportive_but_indirect
CNGA2	likely	surface_yes	219.0	20	13	18	5	direct_multi_method
CNGA3	canonical	surface_yes	231.0	20	16	18	6	direct_multi_method
CNGA4	likely	surface_yes	162.0	12	6	17	6	direct_single_method
CNGB1	likely	surface_yes	272.0	17	13	19	5	direct_multi_method
CNGB3	likely	surface_yes	213.0	18	12	19	6	direct_multi_method
CNIH2	low	surface_yes	210.0	16	12	18	4	weak
CNIH3	low	surface_yes	180.0	17	14	18	4	conflicting
CNMD	low	surface_yes	269.0	3	2	15	5	weak
CNNM1	likely	surface_yes	182.0	10	5	17	6	supportive_but_indirect
CNNM2	likely	surface_yes	185.0	24	17	18	7	supportive_but_indirect
CNNM3	canonical	surface_yes	147.0	17	12	19	7	direct_multi_method
CNNM4	canonical	surface_yes	143.0	22	14	18	7	supportive_but_indirect
CNR1	canonical	surface_yes	308.0	33	26	18	6	direct_multi_method
CNR2	canonical	surface_yes	304.0	27	20	16	5	direct_multi_method
CNTFR	canonical	surface_yes	210.0	22	20	22	5	direct_multi_method
CNTN1	canonical	surface_yes	317.0	16	14	20	6	direct_multi_method
CNTN2	likely	surface_yes	317.0	10	6	18	5	supportive_but_indirect
CNTN3	canonical	surface_yes	357.0	5	4	16	5	supportive_but_indirect
CNTN4	likely	surface_yes	224.0	10	8	19	6	supportive_but_indirect
CNTN5	likely	surface_yes	235.0	5	3	17	6	supportive_but_indirect
CNTN6	canonical	surface_yes	234.0	8	6	17	5	supportive_but_indirect
CNTNAP1	likely	surface_yes	257.0	24	20	19	5	direct_single_method
CNTNAP2	canonical	surface_yes	255.0	17	15	20	6	direct_multi_method
CNTNAP3	likely	surface_yes	161.0	4	2	17	5	direct_single_method
CNTNAP3B	likely	surface_yes	78.0	0	0	12	5	weak
CNTNAP4	likely	surface_yes	168.0	10	8	22	6	direct_multi_method
CNTNAP5	likely	surface_yes	212.0	3	1	12	4	weak
COL13A1	likely	surface_yes	237.0	16	15	20	5	supportive_but_indirect
COL17A1	canonical	surface_yes	280.0	28	26	22	5	direct_multi_method
COL23A1	canonical	surface_yes	201.0	10	9	20	5	supportive_but_indirect
COL25A1	likely	surface_yes	298.0	10	9	19	5	supportive_but_indirect
COL6A2	low	surface_yes	288.0	18	12	17	5	weak
COL6A3	canonical	surface_yes	298.0	12	11	19	5	weak
COL7A1	likely	surface_yes	287.0	18	13	17	4	supportive_but_indirect
COLEC12	canonical	surface_yes	237.0	18	14	22	5	direct_multi_method
COLQ	low	surface_yes	305.0	5	5	16	5	weak
CORIN	canonical	surface_yes	236.0	16	16	19	5	direct_multi_method
CPA6	low	surface_yes	179.0	6	3	14	5	weak
CPAMD8	likely	surface_yes	349.0	2	1	13	4	direct_single_method
CPD	canonical	surface_yes	334.0	17	16	16	6	direct_single_method
CPE	low	surface_yes	325.0	3	2	13	5	supportive_but_indirect
CPM	canonical	surface_yes	352.0	21	20	21	5	direct_multi_method
CPO	low	surface_yes	253.0	4	2	15	3	weak
CPZ	low	surface_yes	279.0	5	1	15	5	weak
CR1	canonical	surface_yes	323.0	14	11	14	4	direct_multi_method
CR1L	likely	surface_yes	189.0	8	7	18	4	supportive_but_indirect
CR2	canonical	surface_yes	335.0	22	18	18	5	direct_multi_method
CRB1	likely	surface_yes	212.0	12	8	19	5	direct_multi_method
CRB2	likely	surface_yes	197.0	26	23	20	6	supportive_but_indirect
CRB3	likely	surface_yes	186.0	20	16	17	6	supportive_but_indirect
CREG1	low	surface_yes	208.0	19	14	18	5	weak
CRHR1	canonical	surface_yes	266.0	26	22	19	6	direct_multi_method
CRHR2	canonical	surface_yes	242.0	27	23	17	6	direct_multi_method
CRIM1	canonical	surface_yes	257.0	16	14	19	5	supportive_but_indirect
CRIPTO	canonical	surface_yes	280.0	14	11	20	4	direct_single_method
CRIPTO3	low	surface_yes	213.0	8	6	21	3	weak
CRISP1	low	surface_yes	307.0	1	0	14	5	weak
CRISP2	likely	surface_yes	280.0	13	13	17	5	supportive_but_indirect
CRISP3	low	surface_yes	340.0	8	3	17	4	weak
CRISPLD1	low	surface_yes	147.0	1	0	15	5	weak
CRISPLD2	low	surface_yes	251.0	10	9	16	5	weak
CRLF2	canonical	surface_yes	270.0	21	20	19	5	direct_multi_method
CRTAM	canonical	surface_yes	220.0	26	20	18	7	direct_multi_method
CRYAB	low	surface_yes	283.0	9	9	13	4	weak
CSF1	low	surface_yes	331.0	17	15	16	6	weak
CSF1R	canonical	surface_yes	296.0	29	24	18	6	direct_multi_method
CSF2RA	canonical	surface_yes	292.0	18	15	18	5	direct_multi_method
CSF2RB	canonical	surface_yes	253.0	23	21	20	5	direct_multi_method
CSF3R	canonical	surface_yes	288.0	18	15	19	6	direct_multi_method
CSMD1	canonical	surface_yes	230.0	8	8	19	6	direct_single_method
CSMD2	likely	surface_yes	195.0	3	1	18	6	weak
CSMD3	likely	surface_yes	255.0	4	2	14	5	weak
CSPG4	canonical	surface_yes	286.0	35	34	20	4	direct_multi_method
CSPG5	likely	surface_yes	278.0	5	4	15	5	direct_multi_method
CST7	low	surface_yes	335.0	2	1	15	4	weak
CT47A11	low	surface_yes	22.0	0	0	12	3	weak
CT47A3	low	surface_yes	18.0	0	0	12	3	weak
CT47A6	uncertain	surface_yes	18.0	0	0	11	3	weak
CTHRC1	likely	surface_yes	265.0	24	20	18	5	supportive_but_indirect
CTLA4	canonical	surface_yes	330.0	27	25	20	6	direct_multi_method
CTNS	low	surface_yes	215.0	17	14	18	5	direct_multi_method
CTSA	low	surface_yes	319.0	8	6	17	6	weak
CTSB	likely	surface_yes	344.0	23	16	15	4	direct_single_method
CTSD	likely	surface_yes	305.0	18	16	16	4	direct_single_method
CTSE	likely	surface_yes	242.0	9	8	17	5	weak
CTSG	low	surface_yes	334.0	10	9	16	4	weak
CTSH	low	surface_yes	283.0	8	5	14	4	weak
CTSK	likely	surface_yes	317.0	18	14	16	5	supportive_but_indirect
CTSL	low	surface_yes	320.0	20	19	14	4	weak
CTSS	low	surface_yes	287.0	22	20	15	6	weak
CTSZ	likely	surface_yes	239.0	15	15	19	5	supportive_but_indirect
CTXN1	low	surface_yes	108.0	2	2	12	4	weak
CTXN3	low	surface_yes	180.0	3	2	12	4	weak
CTXND1	low	surface_yes	74.0	0	0	11	3	weak
CTXND2	low	surface_yes	185.0	1	0	12	3	weak
CUBN	canonical	surface_yes	298.0	23	18	18	4	supportive_but_indirect
CUZD1	low	surface_yes	280.0	8	4	16	6	weak
CX3CL1	canonical	surface_yes	299.0	30	26	20	5	direct_multi_method
CX3CR1	canonical	surface_yes	317.0	36	34	17	6	direct_multi_method
CXADR	canonical	surface_yes	331.0	27	24	22	6	direct_single_method
CXCL12	canonical	surface_yes	323.0	24	19	19	5	supportive_but_indirect
CXCL16	canonical	surface_yes	344.0	12	10	17	3	direct_single_method
CXCR1	canonical	surface_yes	355.0	21	16	17	5	direct_multi_method
CXCR2	canonical	surface_yes	310.0	43	36	17	5	direct_multi_method
CXCR3	canonical	surface_yes	329.0	35	31	17	6	direct_multi_method
CXCR4	canonical	surface_yes	337.0	35	29	18	6	direct_multi_method
CXCR5	canonical	surface_yes	334.0	31	26	18	6	direct_multi_method
CXCR6	canonical	surface_yes	287.0	41	37	16	5	direct_multi_method
CXorf66	low	surface_yes	36.0	1	0	15	2	weak
CYB561	low	surface_yes	156.0	14	9	17	6	weak
CYB5B	low	surface_yes		6	4	18	4	conflicting
CYBA	likely	surface_yes	266.0	20	16	17	3	direct_single_method
CYBB	canonical	surface_yes	302.0	28	21	18	5	direct_multi_method
CYBRD1	canonical	surface_yes	208.0	20	14	19	6	direct_multi_method
CYP2W1	low	surface_yes	154.0	3	2	16	4	direct_single_method
CYP4Z1	low	surface_yes	136.0	2	2	13	3	conflicting
CYSLTR1	canonical	surface_yes	240.0	33	29	17	5	direct_multi_method
CYSLTR2	canonical	surface_yes	234.0	26	25	17	5	direct_multi_method
CYSTM1	low	surface_yes	141.0	3	0	11	3	weak
CYTL1	low	surface_yes	312.0	1	1	11	3	weak
DAG1	canonical	surface_yes	331.0	24	21	20	4	supportive_but_indirect
DAGLA	canonical	surface_yes	230.0	18	16	17	5	direct_multi_method
DCBLD1	canonical	surface_yes	151.0	6	5	16	6	supportive_but_indirect
DCBLD2	canonical	surface_yes	218.0	20	15	15	6	direct_multi_method
DCC	canonical	surface_yes	313.0	19	18	18	5	direct_single_method
DCD	low	surface_yes	301.0	7	4	17	4	weak
DCHS1	canonical	surface_yes	231.0	15	15	19	5	supportive_but_indirect
DCHS2	canonical	surface_yes	169.0	7	3	18	6	supportive_but_indirect
DCLK1	likely	surface_yes	265.0	13	10	18	2	direct_single_method
DCST1	likely	surface_yes	159.0	5	4	14	5	supportive_but_indirect
DCST2	likely	surface_yes	75.0	6	4	16	5	supportive_but_indirect
DCSTAMP	canonical	surface_yes	326.0	22	18	19	7	direct_multi_method
DCT	likely	surface_yes	321.0	19	12	17	6	supportive_but_indirect
DCXR	low	surface_yes	346.0	0	0	12	4	weak
DDR1	canonical	surface_yes	328.0	29	23	20	6	direct_multi_method
DDR2	canonical	surface_yes	291.0	35	28	18	5	direct_multi_method
DEFB103B	likely	surface_yes	236.0	24	19	14	3	supportive_but_indirect
DEFB106B	low	surface_yes	174.0	5	3	16	3	weak
DEFB112	low	surface_yes	141.0	2	2	13	2	weak
DEFB113	low	surface_yes	40.0	4	2	13	3	weak
DEFB115	low	surface_yes	49.0	4	2	14	3	weak
DEFB118	likely	surface_yes	101.0	4	2	15	3	direct_single_method
DEFB126	likely	surface_yes	144.0	13	13	17	2	direct_multi_method
DEFB132	likely	surface_yes	115.0	2	1	15	3	supportive_but_indirect
DGCR2	likely	surface_yes	339.0	7	4	17	5	direct_single_method
DHH	likely	surface_yes	256.0	14	12	17	4	supportive_but_indirect
DIO1	low	surface_yes	316.0	9	4	14	5	weak
DIO3	low	surface_yes	333.0	11	11	14	4	supportive_but_indirect
DIP2A	canonical	surface_yes	208.0	10	8	16	5	direct_single_method
DISP1	canonical	surface_yes	161.0	10	8	18	5	direct_single_method
DISP2	likely	surface_yes	111.0	3	2	14	5	direct_single_method
DLK1	canonical	surface_yes	271.0	28	23	19	6	direct_multi_method
DLK2	likely	surface_yes	172.0	13	5	16	6	supportive_but_indirect
DLL1	canonical	surface_yes	349.0	13	11	18	6	direct_multi_method
DLL3	likely	surface_yes	281.0	34	28	17	6	direct_multi_method
DLL4	canonical	surface_yes	272.0	31	26	22	5	direct_multi_method
DLST	low	surface_yes		1	1	12	6	weak
DMBT1	canonical	surface_yes	328.0	11	7	20	4	supportive_but_indirect
DMKN	low	surface_yes	337.0	2	2	15	4	weak
DNAJC22	low	surface_yes	222.0	2	0	15	3	weak
DNAJC5	low	surface_yes	287.0	13	12	16	5	weak
DNAJC9	low	surface_yes	163.0	1	0	14	4	weak
DNASE1L2	low	surface_yes	218.0	7	4	14	5	weak
DNER	likely	surface_yes	361.0	9	9	15	5	direct_single_method
DOCK8	low	surface_yes	278.0	10	10	13	5	weak
DPEP1	canonical	surface_yes	304.0	17	17	19	6	direct_multi_method
DPEP2	likely	surface_yes	244.0	1	0	14	6	supportive_but_indirect
DPEP3	likely	surface_yes	243.0	4	4	14	6	direct_multi_method
DPP10	canonical	surface_yes	220.0	17	15	20	7	direct_single_method
DPP4	canonical	surface_yes	287.0	39	38	21	6	direct_multi_method
DPP6	likely	surface_yes	265.0	18	12	16	7	direct_multi_method
DRAM1	low	surface_yes	233.0	15	11	13	6	weak
DRAM2	likely	surface_yes	203.0	5	4	15	5	supportive_but_indirect
DRD1	canonical	surface_yes	294.0	29	24	18	5	direct_single_method
DRD2	canonical	surface_yes	297.0	33	27	20	6	direct_multi_method
DRD3	canonical	surface_yes	247.0	20	17	19	6	direct_multi_method
DRD4	canonical	surface_yes	270.0	19	15	20	5	direct_multi_method
DRD5	canonical	surface_yes	255.0	23	20	18	5	direct_multi_method
DSC1	likely	surface_yes	244.0	26	20	19	6	direct_multi_method
DSC2	canonical	surface_yes	275.0	21	17	21	6	direct_multi_method
DSC3	likely	surface_yes	301.0	20	15	17	6	direct_multi_method
DSCAM	canonical	surface_yes	256.0	19	14	19	6	direct_multi_method
DSCAML1	likely	surface_yes	187.0	18	14	16	6	supportive_but_indirect
DSG1	canonical	surface_yes	300.0	27	24	20	5	direct_multi_method
DSG2	canonical	surface_yes	246.0	38	33	23	5	direct_multi_method
DSG3	likely	surface_yes	332.0	27	21	19	5	direct_multi_method
DSG4	low	surface_yes	243.0	13	10	18	6	weak
DUOX1	canonical	surface_yes	240.0	23	20	18	6	direct_single_method
DUOX2	canonical	surface_yes	261.0	23	18	18	5	direct_multi_method
DUOXA1	low	surface_yes	370.0	5	3	19	6	weak
DUOXA2	likely	surface_yes	173.0	23	21	20	5	supportive_but_indirect
DYNAP	canonical	surface_yes	101.0	5	4	19	3	supportive_but_indirect
DYSF	likely	surface_yes	256.0	21	19	17	5	direct_single_method
EBAG9	canonical	surface_yes	192.0	13	13	19	4	direct_single_method
ECE1	canonical	surface_yes	296.0	12	12	16	7	direct_single_method
ECE2	low	surface_yes	184.0	12	11	14	6	weak
ECEL1	low	surface_yes	258.0	3	3	13	5	weak
ECM2	low	surface_yes	216.0	6	6	15	5	weak
ECRG4	canonical	surface_yes	194.0	12	10	21	3	direct_multi_method
ECSCR	likely	surface_yes	305.0	2	2	14	3	direct_single_method
EDA	likely	surface_yes	303.0	15	11	18	7	weak
EDA2R	canonical	surface_yes	204.0	20	16	20	6	supportive_but_indirect
EDAR	likely	surface_yes	336.0	9	6	17	6	supportive_but_indirect
EDDM13	low	surface_yes	10.0	0	0	11	3	weak
EDDM3A	low	surface_yes	206.0	3	2	12	3	weak
EDDM3B	low	surface_yes	172.0	3	2	12	3	weak
EDIL3	canonical	surface_yes	256.0	26	23	16	5	supportive_but_indirect
EDNRA	canonical	surface_yes	394.0	24	20	18	6	direct_multi_method
EDNRB	canonical	surface_yes	299.0	27	20	17	6	direct_multi_method
EFNA1	canonical	surface_yes	254.0	23	22	18	6	supportive_but_indirect
EFNA2	likely	surface_yes	247.0	0	0	13	5	weak
EFNA3	canonical	surface_yes	276.0	27	25	20	6	direct_multi_method
EFNA4	canonical	surface_yes	205.0	23	19	18	6	direct_multi_method
EFNA5	canonical	surface_yes	274.0	16	14	17	5	weak
EFNB1	canonical	surface_yes	242.0	33	32	22	5	direct_multi_method
EFNB2	canonical	surface_yes	238.0	35	29	16	5	direct_multi_method
EFNB3	canonical	surface_yes	213.0	29	26	18	5	direct_multi_method
EGF	low	surface_yes	348.0	23	20	19	6	supportive_but_indirect
EGFL6	likely	surface_yes	231.0	15	15	16	5	weak
EGFLAM	likely	surface_yes	228.0	6	6	17	5	supportive_but_indirect
EGFR	canonical	surface_yes	365.0	38	32	22	6	direct_multi_method
ELANE	low	surface_yes	342.0	5	4	16	5	weak
ELAPOR1	likely	surface_yes	142.0	10	8	16	5	direct_single_method
ELAPOR2	low	surface_yes	107.0	2	0	13	5	weak
ELFN1	likely	surface_yes	189.0	18	15	17	5	direct_multi_method
ELFN2	likely	surface_yes	159.0	10	8	16	5	direct_single_method
ELSPBP1	low	surface_yes	336.0	1	0	12	3	weak
EMB	canonical	surface_yes	285.0	14	14	19	6	supportive_but_indirect
EMCN	likely	surface_yes	248.0	28	26	21	5	direct_multi_method
EMID1	low	surface_yes	157.0	3	2	16	5	weak
EMP1	canonical	surface_yes	315.0	13	13	15	6	direct_single_method
EMP2	canonical	surface_yes	228.0	26	23	16	5	direct_multi_method
EMP3	canonical	surface_yes	196.0	16	14	17	6	direct_multi_method
ENDOU	uncertain	surface_yes	316.0	0	0	12	4	weak
ENG	canonical	surface_yes	376.0	13	12	20	6	direct_multi_method
ENO1	likely	surface_yes	306.0	21	20	19	5	direct_multi_method
ENO2	low	surface_yes	274.0	10	8	16	6	weak
ENOX1	canonical	surface_yes	172.0	8	6	15	6	direct_multi_method
ENOX2	canonical	surface_yes	182.0	25	21	16	6	direct_multi_method
ENPEP	canonical	surface_yes	300.0	11	10	16	5	supportive_but_indirect
ENPP1	canonical	surface_yes	270.0	23	20	17	5	direct_multi_method
ENPP2	likely	surface_yes	272.0	29	24	19	5	supportive_but_indirect
ENPP3	canonical	surface_yes	290.0	15	14	19	4	direct_multi_method
ENPP4	canonical	surface_yes	166.0	8	6	17	5	direct_multi_method
ENPP5	canonical	surface_yes	188.0	5	3	14	5	supportive_but_indirect
ENPP6	likely	surface_yes	211.0	3	3	19	5	weak
ENPP7	likely	surface_yes	214.0	11	8	21	4	direct_multi_method
ENTPD1	canonical	surface_yes	302.0	38	35	19	6	direct_multi_method
ENTPD2	canonical	surface_yes	236.0	22	21	21	6	direct_multi_method
ENTPD3	canonical	surface_yes	212.0	29	24	21	6	direct_multi_method
ENTPD6	low	surface_yes	167.0	12	9	17	5	direct_single_method
ENTPD8	canonical	surface_yes	208.0	11	9	17	6	direct_multi_method
ENTREP1	low	surface_yes	126.0	2	1	14	6	weak
EPCAM	canonical	surface_yes	331.0	20	17	21	5	direct_multi_method
EPGN	canonical	surface_yes	250.0	9	7	20	6	direct_single_method
EPHA1	canonical	surface_yes	253.0	18	11	20	6	direct_multi_method
EPHA10	canonical	surface_yes	164.0	17	16	18	6	direct_multi_method
EPHA2	canonical	surface_yes	286.0	44	40	18	6	direct_multi_method
EPHA3	canonical	surface_yes	353.0	6	3	17	6	direct_multi_method
EPHA4	canonical	surface_yes	266.0	24	22	21	6	direct_multi_method
EPHA5	canonical	surface_yes	227.0	16	14	18	6	direct_multi_method
EPHA6	canonical	surface_yes	211.0	12	7	18	6	direct_single_method
EPHA7	canonical	surface_yes	230.0	26	20	18	6	direct_multi_method
EPHA8	canonical	surface_yes	235.0	11	6	17	6	direct_multi_method
EPHB1	likely	surface_yes	333.0	3	2	17	6	supportive_but_indirect
EPHB2	canonical	surface_yes	352.0	17	16	19	6	direct_multi_method
EPHB3	canonical	surface_yes	223.0	24	19	19	5	direct_multi_method
EPHB4	canonical	surface_yes	264.0	32	28	19	6	direct_multi_method
EPHB6	canonical	surface_yes	340.0	7	6	17	6	direct_multi_method
