gene_symbol	model	prompt_variant	predicted_verdict	predicted_reason	predicted_confidence	n_reps	majority_agreement	prompt_tokens	completion_tokens	cache_creation_tokens	cache_read_tokens	n_web_searches	cost_usd	latency_s	uniprot_acc	hgnc_id	ncbi_gene_id	ensembl_gene	ground_truth_verdict	ground_truth_class	is_match	uniprot_surface_flag	go_surface_flag	surfy_surface_flag	cspa_surface_flag	hpa_surface_flag	n_db_votes	has_deep_dive
RAC1	claude-haiku-4-5	ncbi	no	cytoplasmic	high	3	1.0	6021	1097	0	0	0	0.011506	14.177	P63000	HGNC:9801	5879	ENSG00000136238	no	wrong_side_negative	1	0	1	0	0	0	1	0
RHOA	claude-haiku-4-5	ncbi	no	cytoplasmic	high	3	1.0	6033	1053	0	0	0	0.011298	13.362	P61586	HGNC:667	387	ENSG00000067560	no	wrong_side_negative	1	0	1	0	0	1	2	0
ROR1	claude-haiku-4-5	ncbi	yes	classical_surface_receptor	high	3	1.0	6105	740	0	0	0	0.009805	9.258	Q01973	HGNC:10256	4919	ENSG00000185483	yes	disagreement_rich_positive	1	1	0	1	1	0	3	0
ROR2	claude-haiku-4-5	ncbi	yes	classical_surface_receptor	high	3	1.0	6150	731	0	0	0	0.009805	8.894	Q01974	HGNC:10257	4920	ENSG00000169071	yes	disagreement_rich_positive	1	1	0	1	1	0	3	0
ROS1	claude-haiku-4-5	ncbi	yes	classical_surface_receptor	high	3	1.0	5982	777	0	0	0	0.009867	9.127	P08922	HGNC:10261	6098	ENSG00000047936	yes	disagreement_rich_positive	1	1	0	1	0	0	2	0
RPN1	claude-haiku-4-5	ncbi	no	endomembrane_resident	high	3	1.0	6078	944	0	0	0	0.010798	11.398	P04843	HGNC:10381	6184	ENSG00000163902	no	wrong_compartment_negative	1	0	0	1	1	0	2	0
RPN2	claude-haiku-4-5	ncbi	no	endomembrane_resident	high	3	1.0	6129	1097	0	0	0	0.011614	13.469	P04844	HGNC:10382	6185	ENSG00000118705	no	wrong_compartment_negative	1	0	0	0	1	0	1	0
SCAP	claude-haiku-4-5	ncbi	no	endomembrane_resident	high	3	1.0	5961	928	0	0	0	0.010601	12.133	Q12770	HGNC:30634	22937	ENSG00000114650	no	wrong_compartment_negative	1	0	0	1	1	0	2	0
SCARB2	claude-haiku-4-5	ncbi	contextual	lysosomal_exocytosis	high	3	1.0	6150	1088	0	0	0	0.01159	12.258	Q14108	HGNC:1665	950	ENSG00000138760	contextual	lysosomal_exocytosis_borderline	1	0	0	1	1	0	2	0
SEC61G	claude-haiku-4-5	ncbi	no	endomembrane_resident	high	3	1.0	6009	1065	0	0	0	0.011334	13.024	P60059	HGNC:18277	23480	ENSG00000132432	no	wrong_compartment_negative	1	1	0	0	0	0	1	0
SEZ6	claude-haiku-4-5	ncbi	contextual	other	low	3	1.0	5940	1153	0	0	0	0.011705	15.131	Q53EL9	HGNC:15955	124925	ENSG00000063015	yes	disagreement_rich_positive	1	1	0	1	0	0	2	0
SLC34A2	claude-haiku-4-5	ncbi	yes	multipass_with_exposed_loops	high	3	1.0	6018	807	0	0	0	0.010053	9.982	O95436	HGNC:11020	10568	ENSG00000157765	yes	disagreement_rich_positive	1	1	1	1	0	1	4	0
SRC	claude-haiku-4-5	ncbi	no	cytoplasmic	high	3	1.0	6099	1079	0	0	0	0.011494	14.013	P12931	HGNC:11283	6714	ENSG00000197122	contextual	wrong_side_borderline	0	0	1	0	0	1	2	1
SSTR2	claude-haiku-4-5	ncbi	yes	multipass_with_exposed_loops	high	3	1.0	5967	844	0	0	0	0.010187	9.624	P30874	HGNC:11331	6752	ENSG00000180616	yes	gpcr_extracellular_pocket	1	1	0	1	0	0	2	0
STEAP1	claude-haiku-4-5	ncbi	yes	multipass_with_exposed_loops	high	3	1.0	5910	618	0	0	0	0.009	8.319	Q9UHE8	HGNC:11378	26872	ENSG00000164647	yes	disagreement_rich_positive	1	0	0	0	0	0	0	0
STEAP2	claude-haiku-4-5	ncbi	contextual	dual_localization	medium	3	1.0	6147	1118	0	0	0	0.011737	14.35	Q8NFT2	HGNC:17885	261729	ENSG00000157214	yes	disagreement_rich_positive	1	0	0	0	0	0	0	0
STIM1	claude-haiku-4-5	ncbi	contextual	cell_state_induced	high	3	1.0	6252	1053	0	0	0	0.011517	13.384	Q13586	HGNC:11386	6786	ENSG00000167323	contextual	induced_borderline	1	1	1	1	1	0	4	0
SUN1	claude-haiku-4-5	ncbi	no	nuclear_envelope	high	3	1.0	5895	905	0	0	0	0.01042	12.044	O94901	HGNC:18587	23353	ENSG00000164828	no	wrong_compartment_negative	1	0	0	0	1	0	1	0
SUN2	claude-haiku-4-5	ncbi	no	nuclear_envelope	high	3	1.0	6174	903	0	0	0	0.010689	11.542	Q9UH99	HGNC:14210	25777	ENSG00000100242	no	wrong_compartment_negative	1	0	0	0	1	0	1	0
SYK	claude-haiku-4-5	ncbi	no	cytoplasmic	high	3	1.0	6090	1061	0	0	0	0.011395	13.206	P43405	HGNC:11491	6850	ENSG00000165025	no	approved_drug_intracellular_negative	1	0	1	0	0	1	2	0
SYNE1	claude-haiku-4-5	ncbi	no	nuclear_envelope	high	3	1.0	6270	1028	0	0	0	0.01141	12.956	Q8NF91	HGNC:17089	23345	ENSG00000131018	no	wrong_compartment_negative	1	0	1	0	0	0	1	0
SYNE2	claude-haiku-4-5	ncbi	no	nuclear_envelope	high	3	1.0	6084	905	0	0	0	0.010609	11.356	Q8WXH0	HGNC:17084	23224	ENSG00000054654	no	wrong_compartment_negative	1	0	1	0	0	0	1	0
TACSTD2	claude-haiku-4-5	ncbi	yes	classical_surface_receptor	high	3	1.0	5931	721	0	0	0	0.009536	7.998	P09758	HGNC:11530	4070	ENSG00000184292	yes	validated_positive	1	1	1	1	1	1	5	1
TF	claude-haiku-4-5	ncbi	contextual	dual_localization	medium	3	1.0	6129	1201	0	0	0	0.012134	14.968	P02787	HGNC:11740	7018	ENSG00000091513	no	secreted_negative	0	0	1	0	1	0	2	0
TFRC	claude-haiku-4-5	ncbi	yes	classical_surface_receptor	high	3	1.0	5916	657	0	0	0	0.009201	7.69	P02786	HGNC:11763	7037	ENSG00000072274	yes	disagreement_rich_positive	1	1	1	0	1	0	3	0
TGFB1	claude-haiku-4-5	ncbi	contextual	dual_localization	medium	3	1.0	6213	1167	0	0	0	0.012048	16.371	P01137	HGNC:11766	7040	ENSG00000105329	contextual	surface_attachment_borderline	1	0	1	0	1	1	3	0
TGOLN2	claude-haiku-4-5	ncbi	no	endomembrane_resident	high	3	1.0	6069	951	0	0	0	0.010824	12.244	O43493	HGNC:15450	10618	ENSG00000152291	contextual	induced_borderline	0	1	0	1	0	0	2	1
TM4SF1	claude-haiku-4-5	ncbi	yes	multipass_with_exposed_loops	high	3	1.0	6051	637	0	0	0	0.009236	10.033	P30408	HGNC:11853	4071	ENSG00000169908	yes	disagreement_rich_positive	1	1	0	1	0	0	2	0
TMED10	claude-haiku-4-5	ncbi	contextual	dual_localization	medium	3	1.0	6189	1104	0	0	0	0.011709	15.571	P49755	HGNC:16998	10972	ENSG00000170348	contextual	dual_localization_borderline	1	0	1	0	0	0	1	0
TMED9	claude-haiku-4-5	ncbi	no	endomembrane_resident	high	3	1.0	5952	977	0	0	0	0.010837	17.33	Q9BVK6	HGNC:24878	54732	ENSG00000184840	no	wrong_compartment_negative	1	0	0	0	1	0	1	0
TYK2	claude-haiku-4-5	ncbi	no	cytoplasmic	high	3	1.0	6099	1146	0	0	0	0.011829	13.176	P29597	HGNC:12440	7297	ENSG00000105397	no	approved_drug_intracellular_negative	1	0	1	0	0	0	1	0
TYRP1	claude-haiku-4-5	ncbi	contextual	cell_state_induced	medium	3	1.0	5961	1077	0	0	0	0.011346	14.033	P17643	HGNC:12450	7306	ENSG00000107165	contextual	dual_localization_borderline	1	0	0	1	1	0	2	0
VDAC1	claude-haiku-4-5	ncbi	contextual	cell_state_induced	medium	3	1.0	6078	1043	0	0	0	0.011293	13.943	P21796	HGNC:12669	7416	ENSG00000213585	contextual	induced_borderline	1	0	0	0	1	0	1	0
VEGFA	claude-haiku-4-5	ncbi	contextual	dual_localization	high	3	1.0	6129	1262	0	0	0	0.012439	16.594	P15692	HGNC:12680	7422	ENSG00000112715	no	secreted_negative	0	0	1	0	0	0	1	0
ZP3	claude-haiku-4-5	ncbi	no	secreted_only	high	3	1.0	6189	1123	0	0	0	0.011804	13.893	P21754	HGNC:13189	7784	ENSG00000188372	contextual	dual_localization_borderline	0	1	0	1	0	0	2	0
A2M	claude-haiku-4-5	pubmed_ncbi	yes	other	high	3	1.0	9495	1216	0	0	0	0.015575	14.803	P01023	HGNC:7	2	ENSG00000175899	no	secreted_negative	0	0	0	0	1	0	1	0
ABCB9	claude-haiku-4-5	pubmed_ncbi	no	endomembrane_resident	high	3	1.0	6375	1080	0	0	0	0.011775	14.391	Q9NP78	HGNC:50	23457	ENSG00000150967	no	wrong_compartment_negative	1	0	0	1	0	0	1	0
ADORA3	claude-haiku-4-5	pubmed_ncbi	yes	multipass_with_exposed_loops	high	3	1.0	7563	792	0	0	0	0.011523	11.614	P0DMS8	HGNC:268	140	ENSG00000282608	yes	gpcr_extracellular_pocket	1	1	0	0	0	0	1	0
AKT2	claude-haiku-4-5	pubmed_ncbi	no	cytoplasmic	high	3	1.0	9333	1444	0	0	0	0.016553	17.501	P31751	HGNC:392	208	ENSG00000105221	no	approved_drug_intracellular_negative	1	0	1	0	0	0	1	0
ALPG	claude-haiku-4-5	pubmed_ncbi	contextual	tissue_restricted_surface	medium	3	1.0	6207	1090	0	0	0	0.011657	15.476	P10696	HGNC:441	251	ENSG00000163286	contextual	disagreement_rich_positive	1	0	0	1	0	1	2	0
AMHR2	claude-haiku-4-5	pubmed_ncbi	yes	classical_surface_receptor	high	3	1.0	9117	1024	0	0	0	0.014237	13.496	Q16671	HGNC:465	269	ENSG00000135409	yes	disagreement_rich_positive	1	1	0	1	0	0	2	0
APOB	claude-haiku-4-5	pubmed_ncbi	yes	other	high	3	1.0	9135	1078	0	0	0	0.014525	12.095	P04114	HGNC:603	338	ENSG00000084674	no	secreted_negative	0	0	0	0	1	0	1	0
APPL1	claude-haiku-4-5	pubmed_ncbi	no	cytoplasmic	high	3	1.0	9060	1210	0	0	0	0.01511	14.641	Q9UKG1	HGNC:24035	26060	ENSG00000157500	no	opencell_vesicle_negative	1	0	0	0	0	1	1	0
ATG9A	claude-haiku-4-5	pubmed_ncbi	contextual	dual_localization	high	3	1.0	8391	1200	0	0	0	0.014391	13.183	Q7Z3C6	HGNC:22408	79065	ENSG00000198925	no	wrong_compartment_negative	0	0	0	1	1	0	2	0
ATP5F1B	claude-haiku-4-5	pubmed_ncbi	no	mitochondrial_internal	high	3	1.0	6525	975	0	0	0	0.0114	11.903	P06576	HGNC:830	506	ENSG00000110955	contextual	dual_localization_borderline	0	0	1	0	0	0	1	0
AVPR1A	claude-haiku-4-5	pubmed_ncbi	yes	classical_surface_receptor	high	3	1.0	6720	824	0	0	0	0.01084	9.114	P37288	HGNC:895	552	ENSG00000166148	yes	gpcr_extracellular_pocket	1	1	0	1	0	0	2	0
B2M	claude-haiku-4-5	pubmed_ncbi	yes	stable_complex_partner	high	3	1.0	8844	1005	0	0	0	0.013869	11.685	P61769	HGNC:914	567	ENSG00000166710	yes	stable_complex_positive	1	1	1	0	0	1	3	0
B4GALT1	claude-haiku-4-5	pubmed_ncbi	contextual	dual_localization	medium	3	1.0	7311	1070	0	0	0	0.012661	14.045	P15291	HGNC:924	2683	ENSG00000086062	contextual	induced_borderline	1	1	1	0	0	0	2	0
BAX	claude-haiku-4-5	pubmed_ncbi	no	cytoplasmic	high	3	1.0	9176	1521	0	0	0	0.016781	17.842	Q07812	HGNC:959	581	ENSG00000087088	no	induced_borderline	1	0	0	0	0	1	1	1
BDKRB1	claude-haiku-4-5	pubmed_ncbi	yes	multipass_with_exposed_loops	high	3	1.0	6885	811	0	0	0	0.01094	9.803	P46663	HGNC:1029	623	ENSG00000100739	yes	gpcr_extracellular_pocket	1	1	0	1	0	0	2	0
BRAF	claude-haiku-4-5	pubmed_ncbi	no	cytoplasmic	high	3	1.0	8850	1251	0	0	0	0.015105	14.961	P15056	HGNC:1097	673	ENSG00000157764	no	approved_drug_intracellular_negative	1	0	0	0	0	1	1	0
BST2	claude-haiku-4-5	pubmed_ncbi	yes	gpi_anchored	high	3	1.0	8435	966	0	0	0	0.013265	14.824	Q10589	HGNC:1119	684	ENSG00000130303	yes	gpi_anchored_positive	1	1	1	1	1	0	4	0
BTK	claude-haiku-4-5	pubmed_ncbi	no	cytoplasmic	high	3	1.0	8811	1185	0	0	0	0.014736	14.9	Q06187	HGNC:1133	695	ENSG00000010671	no	approved_drug_intracellular_negative	1	0	0	0	0	1	1	0
C3	claude-haiku-4-5	pubmed_ncbi	yes	other	high	3	1.0	8616	1051	0	0	0	0.013871	12.929	P01024	HGNC:1318	718	ENSG00000125730	contextual	surface_attachment_borderline	1	1	0	0	1	0	2	0
CA9	claude-haiku-4-5	pubmed_ncbi	yes	classical_surface_receptor	high	3	1.0	8547	913	0	0	0	0.013112	10.026	Q16790	HGNC:1383	768	ENSG00000107159	yes	disagreement_rich_positive	1	1	0	0	0	1	2	0
CALR	claude-haiku-4-5	pubmed_ncbi	contextual	cell_state_induced	high	3	1.0	8661	1122	0	0	0	0.014271	14.205	P27797	HGNC:1455	811	ENSG00000179218	contextual	induced_borderline	1	1	1	0	1	0	3	0
CCR8	claude-haiku-4-5	pubmed_ncbi	yes	multipass_with_exposed_loops	high	3	1.0	8898	1081	0	0	0	0.014303	11.795	P51685	HGNC:1609	1237	ENSG00000179934	yes	disagreement_rich_positive	1	1	1	1	0	0	3	0
CD19	claude-haiku-4-5	pubmed_ncbi	yes	classical_surface_receptor	high	3	1.0	8692	1046	0	0	0	0.013922	11.965	P15391	HGNC:1633	930	ENSG00000177455	yes	validated_positive	1	1	1	1	1	0	4	0
CD24	claude-haiku-4-5	pubmed_ncbi	yes	gpi_anchored	high	3	1.0	8348	986	0	0	0	0.013278	9.747	P25063	HGNC:1645	100133941	ENSG00000272398	yes	gpi_anchored_positive	1	0	1	1	0	0	2	0
CD276	claude-haiku-4-5	pubmed_ncbi	yes	classical_surface_receptor	high	3	1.0	9066	1043	0	0	0	0.014281	11.867	Q5ZPR3	HGNC:19137	80381	ENSG00000103855	yes	disagreement_rich_positive	1	1	1	1	1	0	4	0
CD63	claude-haiku-4-5	pubmed_ncbi	yes	multipass_with_exposed_loops	high	3	1.0	8550	902	0	0	0	0.01306	10.805	P08962	HGNC:1692	967	ENSG00000135404	contextual	lysosomal_exocytosis_borderline	1	1	1	1	1	0	4	0
CD68	claude-haiku-4-5	pubmed_ncbi	contextual	dual_localization	high	3	1.0	9225	966	0	0	0	0.014055	12.577	P34810	HGNC:1693	968	ENSG00000129226	contextual	lysosomal_exocytosis_borderline	1	1	0	1	1	0	3	0
CD74	claude-haiku-4-5	pubmed_ncbi	yes	classical_surface_receptor	high	3	1.0	8580	983	0	0	0	0.013495	10.887	P04233	HGNC:1697	972	ENSG00000019582	yes	disagreement_rich_positive	1	1	1	1	1	0	4	0
CEACAM5	claude-haiku-4-5	pubmed_ncbi	yes	classical_surface_receptor	high	3	1.0	9219	1097	0	0	0	0.014704	12.98	P06731	HGNC:1817	1048	ENSG00000105388	yes	gpi_anchored_positive	1	1	1	1	0	1	4	0
CEACAM6	claude-haiku-4-5	pubmed_ncbi	yes	gpi_anchored	high	3	1.0	8934	1014	0	0	0	0.014004	14.508	P40199	HGNC:1818	4680	ENSG00000086548	yes	gpi_anchored_positive	1	1	1	1	1	0	4	0
CLDN18	claude-haiku-4-5	pubmed_ncbi	contextual	cell_state_induced	high	3	1.0	8421	1103	0	0	0	0.013936	13.022	P56856	HGNC:2039	51208	ENSG00000066405	yes	disagreement_rich_positive	1	1	0	1	0	1	3	1
CLDN6	claude-haiku-4-5	pubmed_ncbi	yes	multipass_with_exposed_loops	high	3	1.0	8670	1049	0	0	0	0.013915	12.477	P56747	HGNC:2048	9074	ENSG00000184697	yes	disagreement_rich_positive	1	1	0	1	0	0	2	0
CRISP1	claude-haiku-4-5	pubmed_ncbi	contextual	stable_surface_attachment	medium	3	1.0	6981	1045	0	0	0	0.012206	13.063	P54107	HGNC:304	167	ENSG00000124812	contextual	surface_attachment_borderline	1	0	0	0	0	0	0	0
CSPG4	claude-haiku-4-5	pubmed_ncbi	yes	classical_surface_receptor	high	3	1.0	8919	1079	0	0	0	0.014314	10.694	Q6UVK1	HGNC:2466	1464	ENSG00000173546	yes	disagreement_rich_positive	1	1	1	1	1	1	5	0
DLK1	claude-haiku-4-5	pubmed_ncbi	yes	classical_surface_receptor	high	3	1.0	8967	1141	0	0	0	0.014672	13.103	P80370	HGNC:2907	8788	ENSG00000185559	yes	disagreement_rich_positive	1	1	0	1	0	0	2	0
DLL3	claude-haiku-4-5	pubmed_ncbi	yes	classical_surface_receptor	high	3	1.0	8523	1066	0	0	0	0.013853	11.711	Q9NYJ7	HGNC:2909	10683	ENSG00000090932	contextual	disagreement_rich_positive	1	1	0	1	0	1	3	0
DPEP1	claude-haiku-4-5	pubmed_ncbi	contextual	cell_state_induced	medium	3	1.0	7671	1061	0	0	0	0.012976	13.94	P16444	HGNC:3002	1800	ENSG00000015413	yes	gpi_anchored_positive	1	1	0	1	1	1	4	0
DSG3	claude-haiku-4-5	pubmed_ncbi	yes	classical_surface_receptor	high	3	1.0	9238	982	0	0	0	0.014148	11.182	P32926	HGNC:3050	1830	ENSG00000134757	yes	disagreement_rich_positive	1	1	1	1	0	0	3	0
DSG4	claude-haiku-4-5	pubmed_ncbi	yes	classical_surface_receptor	high	3	1.0	7902	847	0	0	0	0.012137	8.523	Q86SJ6	HGNC:21307	147409	ENSG00000175065	yes	disagreement_rich_positive	1	1	1	1	0	0	3	0
EFNA4	claude-haiku-4-5	pubmed_ncbi	yes	gpi_anchored	high	3	1.0	6906	635	0	0	0	0.010081	7.157	P52798	HGNC:3224	1945	ENSG00000243364	yes	disagreement_rich_positive	1	0	0	1	1	0	2	0
EPCAM	claude-haiku-4-5	pubmed_ncbi	yes	classical_surface_receptor	high	3	1.0	9091	999	0	0	0	0.014086	11.07	P16422	HGNC:11529	4072	ENSG00000119888	yes	disagreement_rich_positive	1	1	1	1	1	1	5	0
EPHB4	claude-haiku-4-5	pubmed_ncbi	yes	classical_surface_receptor	high	3	1.0	9513	1211	0	0	0	0.015568	15.117	P54760	HGNC:3395	2050	ENSG00000196411	yes	disagreement_rich_positive	1	1	0	1	1	0	3	0
EREG	claude-haiku-4-5	pubmed_ncbi	contextual	dual_localization	high	3	1.0	8988	1355	0	0	0	0.015763	17.045	O14944	HGNC:3443	2069	ENSG00000124882	contextual	disagreement_rich_positive	1	1	0	1	0	0	2	0
F2	claude-haiku-4-5	pubmed_ncbi	yes	other	high	3	1.0	8851	1261	0	0	0	0.015156	15.363	P00734	HGNC:3535	2147	ENSG00000180210	no	secreted_negative	0	0	1	0	1	0	2	0
FLT3	claude-haiku-4-5	pubmed_ncbi	yes	classical_surface_receptor	high	3	1.0	8802	1023	0	0	0	0.013917	11.805	P36888	HGNC:3765	2322	ENSG00000122025	yes	disagreement_rich_positive	1	1	0	1	1	0	3	0
FN1	claude-haiku-4-5	pubmed_ncbi	contextual	dual_localization	high	3	1.0	9483	1435	0	0	0	0.016658	20.686	P02751	HGNC:3778	2335	ENSG00000115414	contextual	secreted_negative	1	0	0	0	1	0	1	1
FOLH1	claude-haiku-4-5	pubmed_ncbi	yes	classical_surface_receptor	high	3	1.0	6897	771	0	0	0	0.010752	10.197	Q04609	HGNC:3788	2346	ENSG00000086205	yes	validated_positive	1	1	1	1	0	0	3	0
FOLR1	claude-haiku-4-5	pubmed_ncbi	yes	gpi_anchored	high	3	1.0	9222	912	0	0	0	0.013782	10.944	P15328	HGNC:3791	2348	ENSG00000110195	yes	validated_positive	1	1	1	1	1	0	4	0
FZD10	claude-haiku-4-5	pubmed_ncbi	yes	multipass_with_exposed_loops	high	3	1.0	9285	1037	0	0	0	0.01447	11.405	Q9ULW2	HGNC:4039	11211	ENSG00000111432	yes	disagreement_rich_positive	1	1	1	1	0	0	3	0
FZD7	claude-haiku-4-5	pubmed_ncbi	yes	classical_surface_receptor	high	3	1.0	9150	979	0	0	0	0.014045	10.885	O75084	HGNC:4045	8324	ENSG00000155760	yes	disagreement_rich_positive	1	1	0	1	0	0	2	0
GALNT1	claude-haiku-4-5	pubmed_ncbi	no	endomembrane_resident	high	3	1.0	7938	1183	0	0	0	0.013853	13.215	Q10472	HGNC:4123	2589	ENSG00000141429	no	wrong_compartment_negative	1	0	0	0	1	0	1	0
GCGR	claude-haiku-4-5	pubmed_ncbi	yes	multipass_with_exposed_loops	high	3	1.0	9394	985	0	0	0	0.014319	11.743	P47871	HGNC:4192	2642	ENSG00000215644	yes	gpcr_extracellular_pocket	1	1	0	1	0	0	2	0
GFRA1	claude-haiku-4-5	pubmed_ncbi	yes	gpi_anchored	high	3	1.0	7869	784	0	0	0	0.011789	9.776	P56159	HGNC:4243	2674	ENSG00000151892	yes	disagreement_rich_positive	1	0	1	1	1	0	3	0
GIPR	claude-haiku-4-5	pubmed_ncbi	yes	classical_surface_receptor	high	3	1.0	9137	955	0	0	0	0.013912	10.786	P48546	HGNC:4271	2696	ENSG00000010310	yes	gpcr_extracellular_pocket	1	1	0	1	0	0	2	0
GNAQ	claude-haiku-4-5	pubmed_ncbi	no	cytoplasmic	high	3	1.0	9177	1187	0	0	0	0.015112	14.34	P50148	HGNC:4390	2776	ENSG00000156052	no	wrong_side_negative	1	0	1	0	0	1	2	0
GNB1	claude-haiku-4-5	pubmed_ncbi	no	cytoplasmic	high	3	1.0	7044	1208	0	0	0	0.013084	16.162	P62873	HGNC:4396	2782	ENSG00000078369	no	wrong_side_negative	1	0	1	0	0	1	2	0
GPBAR1	claude-haiku-4-5	pubmed_ncbi	yes	multipass_with_exposed_loops	high	3	1.0	9108	920	0	0	0	0.013708	10.656	Q8TDU6	HGNC:19680	151306	ENSG00000179921	yes	gpcr_extracellular_pocket	1	1	0	1	0	0	2	0
GPC2	claude-haiku-4-5	pubmed_ncbi	yes	gpi_anchored	high	3	1.0	8809	1143	0	0	0	0.014524	12.652	Q8N158	HGNC:4450	221914	ENSG00000213420	yes	gpi_anchored_positive	1	0	1	1	0	0	2	0
GPC3	claude-haiku-4-5	pubmed_ncbi	yes	gpi_anchored	high	3	1.0	8595	864	0	0	0	0.012915	10.121	P51654	HGNC:4451	2719	ENSG00000147257	yes	gpi_anchored_positive	1	0	1	1	0	1	3	0
GPNMB	claude-haiku-4-5	pubmed_ncbi	contextual	dual_localization	medium	3	1.0	8898	1138	0	0	0	0.014588	13.286	Q14956	HGNC:4462	10457	ENSG00000136235	yes	disagreement_rich_positive	1	1	0	1	1	0	3	0
GPRC5D	claude-haiku-4-5	pubmed_ncbi	yes	multipass_with_exposed_loops	high	3	1.0	8163	1010	0	0	0	0.013213	10.352	Q9NZD1	HGNC:13310	55507	ENSG00000111291	yes	disagreement_rich_positive	1	1	0	1	0	0	2	0
GRM4	claude-haiku-4-5	pubmed_ncbi	yes	multipass_with_exposed_loops	high	3	1.0	6384	977	0	0	0	0.011269	10.524	Q14833	HGNC:4596	2914	ENSG00000124493	yes	gpcr_extracellular_pocket	1	1	0	1	0	0	2	0
GUCY2C	claude-haiku-4-5	pubmed_ncbi	yes	classical_surface_receptor	high	3	1.0	8739	1040	0	0	0	0.013939	10.68	P25092	HGNC:4688	2984	ENSG00000070019	yes	disagreement_rich_positive	1	1	0	1	0	0	2	0
GYPA	claude-haiku-4-5	pubmed_ncbi	yes	classical_surface_receptor	high	3	1.0	8505	1013	0	0	0	0.01357	12.225	P02724	HGNC:4702	2993	ENSG00000170180	yes	disagreement_rich_positive	1	1	0	1	0	1	3	0
HCK	claude-haiku-4-5	pubmed_ncbi	no	cytoplasmic	high	3	1.0	8841	1336	0	0	0	0.015521	15.456	P08631	HGNC:4840	3055	ENSG00000101336	no	wrong_side_negative	1	0	1	0	0	1	2	0
HDAC6	claude-haiku-4-5	pubmed_ncbi	no	cytoplasmic	high	3	1.0	9223	1432	0	0	0	0.016383	16.106	Q9UBN7	HGNC:14064	10013	ENSG00000094631	no	approved_drug_intracellular_negative	1	0	1	0	0	0	1	0
HMGB1	claude-haiku-4-5	pubmed_ncbi	contextual	cell_state_induced	high	3	1.0	8715	1057	0	0	0	0.014	12.656	P09429	HGNC:4983	3146	ENSG00000189403	contextual	induced_borderline	1	0	1	0	0	0	1	1
HNRNPK	claude-haiku-4-5	pubmed_ncbi	no	cytoplasmic	high	3	1.0	9837	1354	0	0	0	0.016607	16.198	P61978	HGNC:5044	3190	ENSG00000165119	no	nuclear_negative	1	0	0	0	1	0	1	0
HRH2	claude-haiku-4-5	pubmed_ncbi	yes	multipass_with_exposed_loops	high	3	1.0	6996	870	0	0	0	0.011346	9.934	P25021	HGNC:5183	3274	ENSG00000113749	yes	gpcr_extracellular_pocket	1	1	0	1	0	0	2	0
HSPA1A	claude-haiku-4-5	pubmed_ncbi	contextual	cell_state_induced	high	3	1.0	8739	871	0	0	0	0.013094	10.078	P0DMV8	HGNC:5232	3303	ENSG00000204389	contextual	induced_borderline	1	0	0	0	0	0	0	0
HSPA5	claude-haiku-4-5	pubmed_ncbi	contextual	cell_state_induced	high	3	1.0	9240	1216	0	0	0	0.01532	14.638	P11021	HGNC:5238	3309	ENSG00000044574	contextual	induced_borderline	1	1	0	0	0	0	1	1
HSPD1	claude-haiku-4-5	pubmed_ncbi	contextual	cell_state_induced	medium	3	1.0	8202	1201	0	0	0	0.014207	16.257	P10809	HGNC:5261	3329	ENSG00000144381	contextual	dual_localization_borderline	1	0	1	0	0	0	1	0
HTR2C	claude-haiku-4-5	pubmed_ncbi	yes	classical_surface_receptor	high	3	1.0	7656	823	0	0	0	0.011771	9.886	P28335	HGNC:5295	3358	ENSG00000147246	yes	gpcr_extracellular_pocket	1	1	0	1	0	0	2	0
IGF1	claude-haiku-4-5	pubmed_ncbi	contextual	dual_localization	medium	3	0.667	9000	1232	0	0	0	0.01516	14.983	P05019	HGNC:5464	3479	ENSG00000017427	no	secreted_negative	0	0	1	0	0	0	1	0
IKBKB	claude-haiku-4-5	pubmed_ncbi	no	cytoplasmic	high	3	1.0	6321	1128	0	0	0	0.011961	13.564	O14920	HGNC:5960	3551	ENSG00000104365	no	approved_drug_intracellular_negative	1	0	1	0	0	0	1	0
IL6	claude-haiku-4-5	pubmed_ncbi	no	secreted_only	high	3	0.667	8892	1870	0	0	0	0.018242	21.931	P05231	HGNC:6018	3569	ENSG00000136244	no	secreted_negative	1	0	1	0	0	0	1	0
ITPR1	claude-haiku-4-5	pubmed_ncbi	no	endomembrane_resident	high	3	1.0	8118	1178	0	0	0	0.014008	16.098	Q14643	HGNC:6180	3708	ENSG00000150995	no	wrong_compartment_negative	1	0	0	0	1	0	1	0
ITPR3	claude-haiku-4-5	pubmed_ncbi	no	endomembrane_resident	high	3	1.0	6441	1055	0	0	0	0.011716	11.883	Q14573	HGNC:6182	3710	ENSG00000096433	no	wrong_compartment_negative	1	1	0	0	1	0	2	0
IZUMO1	claude-haiku-4-5	pubmed_ncbi	yes	classical_surface_receptor	high	3	1.0	8589	927	0	0	0	0.013224	10.556	Q8IYV9	HGNC:28539	284359	ENSG00000182264	contextual	induced_borderline	1	1	0	1	0	0	2	0
IZUMO4	claude-haiku-4-5	pubmed_ncbi	no	nuclear	medium	3	1.0	5973	1180	0	0	0	0.011873	18.311	Q1ZYL8	HGNC:26950	113177	ENSG00000099840	no	induced_borderline	1	0	0	0	0	0	0	1
