gene_symbol	model	prompt_variant	replicate	predicted_verdict	predicted_reason	predicted_confidence	prompt_tokens	completion_tokens	cache_creation_tokens	cache_read_tokens	n_web_searches	cost_usd	latency_s	uniprot_acc	hgnc_id	ncbi_gene_id	ensembl_gene	ground_truth_verdict	ground_truth_class	is_match
RAC1	claude-haiku-4-5	pubmed_ncbi	1	contextual	cell_state_induced	medium	3040	462	0	0	0	0.00535	5.806274041999131	P63000	HGNC:9801	5879	ENSG00000136238	no	wrong_side_negative	0
RHOA	claude-haiku-4-5	pubmed_ncbi	1	no	cytoplasmic	high	2852	471	0	0	0	0.005207	5.604315290984232	P61586	HGNC:667	387	ENSG00000067560	no	wrong_side_negative	1
ROR1	claude-haiku-4-5	pubmed_ncbi	1	yes	classical_surface_receptor	high	2952	382	0	0	0	0.004862	3.8306407909840345	Q01973	HGNC:10256	4919	ENSG00000185483	yes	disagreement_rich_positive	1
ROR2	claude-haiku-4-5	pubmed_ncbi	1	yes	classical_surface_receptor	high	3086	302	0	0	0	0.004596	3.526863625040278	Q01974	HGNC:10257	4920	ENSG00000169071	yes	disagreement_rich_positive	1
ROS1	claude-haiku-4-5	pubmed_ncbi	1	yes	classical_surface_receptor	high	2948	346	0	0	0	0.004678	3.655560083047021	P08922	HGNC:10261	6098	ENSG00000047936	yes	disagreement_rich_positive	1
RPN1	claude-haiku-4-5	pubmed_ncbi	1	no	endomembrane_resident	high	2579	372	0	0	0	0.004439	4.1435807080124505	P04843	HGNC:10381	6184	ENSG00000163902	no	wrong_compartment_negative	1
RPN2	claude-haiku-4-5	pubmed_ncbi	1	no	endomembrane_resident	high	2279	356	0	0	0	0.004059	4.22782729199389	P04844	HGNC:10382	6185	ENSG00000118705	no	wrong_compartment_negative	1
SCAP	claude-haiku-4-5	pubmed_ncbi	1	no	cytoplasmic	high	2852	441	0	0	0	0.005057	5.462338541983627	Q12770	HGNC:30634	22937	ENSG00000114650	no	wrong_compartment_negative	1
SCARB2	claude-haiku-4-5	pubmed_ncbi	1	contextual	lysosomal_exocytosis	medium	2917	498	0	0	0	0.005407	5.149983874987811	Q14108	HGNC:1665	950	ENSG00000138760	contextual	lysosomal_exocytosis_borderline	1
SEC61G	claude-haiku-4-5	pubmed_ncbi	1	no	endomembrane_resident	high	2102	280	0	0	0	0.003502	3.6277532080421224	P60059	HGNC:18277	23480	ENSG00000132432	no	wrong_compartment_negative	1
SEZ6	claude-haiku-4-5	pubmed_ncbi	1	yes	classical_surface_receptor	high	2996	314	0	0	0	0.004566	3.754281208035536	Q53EL9	HGNC:15955	124925	ENSG00000063015	yes	disagreement_rich_positive	1
SLC34A2	claude-haiku-4-5	pubmed_ncbi	1	yes	multipass_with_exposed_loops	high	2719	296	0	0	0	0.004199	3.448542208992876	O95436	HGNC:11020	10568	ENSG00000157765	yes	disagreement_rich_positive	1
SRC	claude-haiku-4-5	pubmed_ncbi	1	contextual	cell_state_induced	medium	2795	362	0	0	0	0.004605	4.402947208029218	P12931	HGNC:11283	6714	ENSG00000197122	contextual	wrong_side_borderline	1
SSTR2	claude-haiku-4-5	pubmed_ncbi	1	yes	multipass_with_exposed_loops	high	2985	365	0	0	0	0.00481	4.303717083006632	P30874	HGNC:11331	6752	ENSG00000180616	yes	gpcr_extracellular_pocket	1
STEAP1	claude-haiku-4-5	pubmed_ncbi	1	yes	multipass_with_exposed_loops	high	2854	233	0	0	0	0.004019	3.03094087500358	Q9UHE8	HGNC:11378	26872	ENSG00000164647	yes	disagreement_rich_positive	1
STEAP2	claude-haiku-4-5	pubmed_ncbi	1	yes	multipass_with_exposed_loops	high	3014	299	0	0	0	0.004509	3.6887744159903377	Q8NFT2	HGNC:17885	261729	ENSG00000157214	yes	disagreement_rich_positive	1
STIM1	claude-haiku-4-5	pubmed_ncbi	1	no	endomembrane_resident	high	3031	318	0	0	0	0.004621	3.5305242920294404	Q13586	HGNC:11386	6786	ENSG00000167323	contextual	induced_borderline	0
SUN1	claude-haiku-4-5	pubmed_ncbi	1	no	nuclear_envelope	high	2272	266	0	0	0	0.003602	3.259606708015781	O94901	HGNC:18587	23353	ENSG00000164828	no	wrong_compartment_negative	1
SUN2	claude-haiku-4-5	pubmed_ncbi	1	no	nuclear_envelope	high	2284	343	0	0	0	0.003999	4.0594270410365425	Q9UH99	HGNC:14210	25777	ENSG00000100242	no	wrong_compartment_negative	1
SYK	claude-haiku-4-5	pubmed_ncbi	1	no	cytoplasmic	high	2999	378	0	0	0	0.004889	4.431344042008277	P43405	HGNC:11491	6850	ENSG00000165025	no	approved_drug_intracellular_negative	1
SYNE1	claude-haiku-4-5	pubmed_ncbi	1	no	nuclear_envelope	high	2342	417	0	0	0	0.004427	5.281613083963748	Q8NF91	HGNC:17089	23345	ENSG00000131018	no	wrong_compartment_negative	1
SYNE2	claude-haiku-4-5	pubmed_ncbi	1	no	nuclear_envelope	high	2127	392	0	0	0	0.004087	4.990839792008046	Q8WXH0	HGNC:17084	23224	ENSG00000054654	no	wrong_compartment_negative	1
TACSTD2	claude-haiku-4-5	pubmed_ncbi	1	yes	classical_surface_receptor	high	2775	304	0	0	0	0.004295	3.3466080829966813	P09758	HGNC:11530	4070	ENSG00000184292	yes	validated_positive	1
TF	claude-haiku-4-5	pubmed_ncbi	1	contextual	secreted_only	medium	2819	528	0	0	0	0.005459	7.071833166992292	P02787	HGNC:11740	7018	ENSG00000091513	no	secreted_negative	0
TFRC	claude-haiku-4-5	pubmed_ncbi	1	yes	classical_surface_receptor	high	2890	307	0	0	0	0.004425	3.9556477909791283	P02786	HGNC:11763	7037	ENSG00000072274	yes	disagreement_rich_positive	1
TGFB1	claude-haiku-4-5	pubmed_ncbi	1	contextual	dual_localization	medium	3189	504	0	0	0	0.005709	6.406524582998827	P01137	HGNC:11766	7040	ENSG00000105329	contextual	surface_attachment_borderline	1
TGOLN2	claude-haiku-4-5	pubmed_ncbi	1	no	endomembrane_resident	high	2122	345	0	0	0	0.003847	4.662353291991167	O43493	HGNC:15450	10618	ENSG00000152291	contextual	induced_borderline	0
TM4SF1	claude-haiku-4-5	pubmed_ncbi	1	yes	multipass_with_exposed_loops	high	2994	345	0	0	0	0.004719	4.3478690420161	P30408	HGNC:11853	4071	ENSG00000169908	yes	disagreement_rich_positive	1
TMED10	claude-haiku-4-5	pubmed_ncbi	1	contextual	dual_localization	medium	3155	398	0	0	0	0.005145	5.042512582964264	P49755	HGNC:16998	10972	ENSG00000170348	contextual	dual_localization_borderline	1
TMED9	claude-haiku-4-5	pubmed_ncbi	1	no	endomembrane_resident	high	2263	328	0	0	0	0.003903	4.2597277499735355	Q9BVK6	HGNC:24878	54732	ENSG00000184840	no	wrong_compartment_negative	1
TYK2	claude-haiku-4-5	pubmed_ncbi	1	contextual	dual_localization	medium	2835	446	0	0	0	0.005065	5.243561166978907	P29597	HGNC:12440	7297	ENSG00000105397	no	approved_drug_intracellular_negative	0
TYRP1	claude-haiku-4-5	pubmed_ncbi	1	contextual	dual_localization	medium	2938	489	0	0	0	0.005383	5.463998917024583	P17643	HGNC:12450	7306	ENSG00000107165	contextual	dual_localization_borderline	1
VDAC1	claude-haiku-4-5	pubmed_ncbi	1	contextual	cell_state_induced	medium	2857	423	0	0	0	0.004972	5.299416708003264	P21796	HGNC:12669	7416	ENSG00000213585	contextual	induced_borderline	1
VEGFA	claude-haiku-4-5	pubmed_ncbi	1	contextual	dual_localization	medium	2902	418	0	0	0	0.004992	5.414128334028646	P15692	HGNC:12680	7422	ENSG00000112715	no	secreted_negative	0
ZP3	claude-haiku-4-5	pubmed_ncbi	1	contextual	tissue_restricted_surface	high	2789	290	0	0	0	0.004239	3.7168243750347756	P21754	HGNC:13189	7784	ENSG00000188372	contextual	dual_localization_borderline	1
A2M	claude-haiku-4-5	web_ncbi	1	no	secreted_only	high	4338	1259	42440	51841	3	0.0988671	17.899342417018488	P01023	HGNC:7	2	ENSG00000175899	no	secreted_negative	1
ABCB9	claude-haiku-4-5	web_ncbi	1	no	endomembrane_resident	high	4313	948	28375	0	2	0.06452175	14.014908624987584	Q9NP78	HGNC:50	23457	ENSG00000150967	no	wrong_compartment_negative	1
ADORA3	claude-haiku-4-5	web_ncbi	1	yes	multipass_with_exposed_loops	high	4296	873	27102	0	2	0.0625385	11.341196957975626	P0DMS8	HGNC:268	140	ENSG00000282608	yes	gpcr_extracellular_pocket	1
AKT2	claude-haiku-4-5	web_ncbi	1	contextual	cell_state_induced	high	4344	936	31970	0	2	0.0689865	11.53072920802515	P31751	HGNC:392	208	ENSG00000105221	no	approved_drug_intracellular_negative	0
ALPG	claude-haiku-4-5	web_ncbi	1	contextual	tissue_restricted_surface	high	4257	769	26443	0	2	0.061155749999999995	9.392482833995018	P10696	HGNC:441	251	ENSG00000163286	contextual	disagreement_rich_positive	1
AMHR2	claude-haiku-4-5	web_ncbi	1	yes	classical_surface_receptor	high	4298	563	17514	0	1	0.0390055	7.416462332999799	Q16671	HGNC:465	269	ENSG00000135409	yes	disagreement_rich_positive	1
APOB	claude-haiku-4-5	web_ncbi	1	no	secreted_only	high	4339	1258	33978	0	2	0.0731015	14.941351165995002	P04114	HGNC:603	338	ENSG00000084674	no	secreted_negative	1
APPL1	claude-haiku-4-5	web_ncbi	1	no	endomembrane_resident	high	4315	1031	35981	0	2	0.07444625	12.88731675001327	Q9UKG1	HGNC:24035	26060	ENSG00000157500	no	opencell_vesicle_negative	1
ATG9A	claude-haiku-4-5	web_ncbi	1	contextual	cell_state_induced	medium	4226	893	33073	0	2	0.07003225	13.317288874997757	Q7Z3C6	HGNC:22408	79065	ENSG00000198925	no	wrong_compartment_negative	0
ATP5F1B	claude-haiku-4-5	web_ncbi	1	no	mitochondrial_internal	high	4357	194	0	0	0	0.005327	2.7107773749739863	P06576	HGNC:830	506	ENSG00000110955	contextual	dual_localization_borderline	0
AVPR1A	claude-haiku-4-5	web_ncbi	1	yes	multipass_with_exposed_loops	high	4280	228	0	0	0	0.00542	2.8651226250221953	P37288	HGNC:895	552	ENSG00000166148	yes	gpcr_extracellular_pocket	1
B2M	claude-haiku-4-5	web_ncbi	1	yes	stable_complex_partner	high	4274	292	0	0	0	0.005734	3.6499499999918044	P61769	HGNC:914	567	ENSG00000166710	yes	stable_complex_positive	1
B4GALT1	claude-haiku-4-5	web_ncbi	1	no	endomembrane_resident	high	4361	283	0	0	0	0.005776	3.3438466250081547	P15291	HGNC:924	2683	ENSG00000086062	contextual	induced_borderline	0
BAX	claude-haiku-4-5	web_ncbi	1	no	cytoplasmic	high	4299	808	33814	0	2	0.0706065	11.199994667025749	Q07812	HGNC:959	581	ENSG00000087088	contextual	induced_borderline	0
BDKRB1	claude-haiku-4-5	web_ncbi	1	yes	multipass_with_exposed_loops	high	4301	199	0	0	0	0.005296	2.6004142080200836	P46663	HGNC:1029	623	ENSG00000100739	yes	gpcr_extracellular_pocket	1
BRAF	claude-haiku-4-5	web_ncbi	1	no	cytoplasmic	high	4335	338	0	0	0	0.006025	4.483717750001233	P15056	HGNC:1097	673	ENSG00000157764	no	approved_drug_intracellular_negative	1
BST2	claude-haiku-4-5	web_ncbi	1	yes	classical_surface_receptor	high	4240	806	35891	0	2	0.07313375	10.608445834019221	Q10589	HGNC:1119	684	ENSG00000130303	yes	gpi_anchored_positive	1
BTK	claude-haiku-4-5	web_ncbi	1	no	cytoplasmic	high	4291	878	34059	0	2	0.07125475	9.992240541963838	Q06187	HGNC:1133	695	ENSG00000010671	no	approved_drug_intracellular_negative	1
C3	claude-haiku-4-5	web_ncbi	1	no	secreted_only	high	4330	802	36608	0	2	0.0741	10.609169957984705	P01024	HGNC:1318	718	ENSG00000125730	contextual	surface_attachment_borderline	0
CA9	claude-haiku-4-5	web_ncbi	1	yes	classical_surface_receptor	high	4295	871	30185	0	2	0.06638125	10.778138583002146	Q16790	HGNC:1383	768	ENSG00000107159	yes	disagreement_rich_positive	1
CALR	claude-haiku-4-5	web_ncbi	1	contextual	cell_state_induced	high	4322	958	31528	0	2	0.068522	12.57370762503706	P27797	HGNC:1455	811	ENSG00000179218	contextual	induced_borderline	1
CCR8	claude-haiku-4-5	web_ncbi	1	yes	multipass_with_exposed_loops	high	4355	917	27507	0	2	0.06332375	11.022699458000716	P51685	HGNC:1609	1237	ENSG00000179934	yes	disagreement_rich_positive	1
CD19	claude-haiku-4-5	web_ncbi	1	yes	classical_surface_receptor	high	4296	230	0	0	0	0.005446	2.8785900420043617	P15391	HGNC:1633	930	ENSG00000177455	yes	validated_positive	1
CD24	claude-haiku-4-5	web_ncbi	1	yes	gpi_anchored	high	4278	185	0	0	0	0.005203	2.115054208028596	P25063	HGNC:1645	100133941	ENSG00000272398	yes	gpi_anchored_positive	1
CD276	claude-haiku-4-5	web_ncbi	1	yes	classical_surface_receptor	high	4312	1166	45697	0	3	0.09726325	13.804837833973579	Q5ZPR3	HGNC:19137	80381	ENSG00000103855	yes	disagreement_rich_positive	1
CD63	claude-haiku-4-5	web_ncbi	1	yes	multipass_with_exposed_loops	high	4298	225	0	0	0	0.005423	2.777462500031106	P08962	HGNC:1692	967	ENSG00000135404	contextual	lysosomal_exocytosis_borderline	1
CD68	claude-haiku-4-5	web_ncbi	1	contextual	dual_localization	high	4312	281	0	0	0	0.005717	3.6433065419550985	P34810	HGNC:1693	968	ENSG00000129226	contextual	lysosomal_exocytosis_borderline	1
CD74	claude-haiku-4-5	web_ncbi	1	yes	classical_surface_receptor	high	4280	898	33019	0	2	0.07004375	11.619664249999914	P04233	HGNC:1697	972	ENSG00000019582	yes	disagreement_rich_positive	1
CEACAM5	claude-haiku-4-5	web_ncbi	1	yes	gpi_anchored	high	4293	835	28383	0	2	0.06394675	9.304147624992765	P06731	HGNC:1817	1048	ENSG00000105388	yes	gpi_anchored_positive	1
CEACAM6	claude-haiku-4-5	web_ncbi	1	yes	gpi_anchored	high	4315	185	0	0	0	0.00524	2.1330243749544024	P40199	HGNC:1818	4680	ENSG00000086548	yes	gpi_anchored_positive	1
CLDN18	claude-haiku-4-5	web_ncbi	1	contextual	cell_state_induced	high	4289	970	31526	0	2	0.0685465	13.137629500008188	P56856	HGNC:2039	51208	ENSG00000066405	yes	disagreement_rich_positive	1
CLDN6	claude-haiku-4-5	web_ncbi	1	contextual	tissue_restricted_surface	high	4280	904	29248	0	2	0.06536	10.503112375037745	P56747	HGNC:2048	9074	ENSG00000184697	yes	disagreement_rich_positive	1
CRISP1	claude-haiku-4-5	web_ncbi	1	contextual	tissue_restricted_surface	high	4331	1137	23020	0	2	0.058790999999999996	14.416692333004903	P54107	HGNC:304	167	ENSG00000124812	contextual	surface_attachment_borderline	1
CSPG4	claude-haiku-4-5	web_ncbi	1	yes	classical_surface_receptor	high	4287	1006	32546	0	2	0.0699995	11.803500083042309	Q6UVK1	HGNC:2466	1464	ENSG00000173546	yes	disagreement_rich_positive	1
DLK1	claude-haiku-4-5	web_ncbi	1	yes	classical_surface_receptor	high	4313	1326	42693	0	3	0.09430925	15.45991958398372	P80370	HGNC:2907	8788	ENSG00000185559	yes	disagreement_rich_positive	1
DLL3	claude-haiku-4-5	web_ncbi	1	contextual	cell_state_induced	high	4252	933	29790	0	2	0.0661545	11.197583834000397	Q9NYJ7	HGNC:2909	10683	ENSG00000090932	yes	disagreement_rich_positive	1
DPEP1	claude-haiku-4-5	web_ncbi	1	yes	gpi_anchored	high	4261	688	29562	0	2	0.0646535	8.523642333981115	P16444	HGNC:3002	1800	ENSG00000015413	yes	gpi_anchored_positive	1
DSG3	claude-haiku-4-5	web_ncbi	1	yes	classical_surface_receptor	high	4303	205	0	0	0	0.005328	2.584972459007986	P32926	HGNC:3050	1830	ENSG00000134757	yes	disagreement_rich_positive	1
DSG4	claude-haiku-4-5	web_ncbi	1	yes	classical_surface_receptor	high	4284	674	32042	0	2	0.0677065	8.446562832978088	Q86SJ6	HGNC:21307	147409	ENSG00000175065	yes	disagreement_rich_positive	1
EFNA4	claude-haiku-4-5	web_ncbi	1	yes	gpi_anchored	high	4309	187	0	0	0	0.005244	2.4467956660082564	P52798	HGNC:3224	1945	ENSG00000243364	yes	disagreement_rich_positive	1
EPCAM	claude-haiku-4-5	web_ncbi	1	yes	classical_surface_receptor	high	4407	868	35656	0	2	0.07331700000000001	10.687831500021275	P16422	HGNC:11529	4072	ENSG00000119888	yes	disagreement_rich_positive	1
EPHB4	claude-haiku-4-5	web_ncbi	1	yes	classical_surface_receptor	high	4336	713	35911	0	2	0.07278975	8.316024416999426	P54760	HGNC:3395	2050	ENSG00000196411	yes	disagreement_rich_positive	1
EREG	claude-haiku-4-5	web_ncbi	1	yes	classical_surface_receptor	high	4284	818	29349	0	2	0.06506025	9.66696524998406	O14944	HGNC:3443	2069	ENSG00000124882	contextual	disagreement_rich_positive	1
F2	claude-haiku-4-5	web_ncbi	1	contextual	dual_localization	medium	4307	438	0	0	0	0.006497	6.204553375020623	P00734	HGNC:3535	2147	ENSG00000180210	no	secreted_negative	0
FLT3	claude-haiku-4-5	web_ncbi	1	yes	classical_surface_receptor	high	4316	237	0	0	0	0.005501	2.8043572909664363	P36888	HGNC:3765	2322	ENSG00000122025	yes	disagreement_rich_positive	1
FN1	claude-haiku-4-5	web_ncbi	1	contextual	dual_localization	high	4338	261	0	0	0	0.005643	3.4612182499840856	P02751	HGNC:3778	2335	ENSG00000115414	no	secreted_negative	0
FOLH1	claude-haiku-4-5	web_ncbi	1	yes	classical_surface_receptor	high	4329	892	27169	0	2	0.06275025	11.87232533399947	Q04609	HGNC:3788	2346	ENSG00000086205	yes	validated_positive	1
FOLR1	claude-haiku-4-5	web_ncbi	1	yes	gpi_anchored	high	4292	235	0	0	0	0.005467	2.6815525830024853	P15328	HGNC:3791	2348	ENSG00000110195	yes	validated_positive	1
FZD10	claude-haiku-4-5	web_ncbi	1	yes	multipass_with_exposed_loops	high	4286	961	26901	0	2	0.06271725	11.014623125025537	Q9ULW2	HGNC:4039	11211	ENSG00000111432	yes	disagreement_rich_positive	1
FZD7	claude-haiku-4-5	web_ncbi	1	yes	multipass_with_exposed_loops	high	4310	212	0	0	0	0.00537	2.7608175839995965	O75084	HGNC:4045	8324	ENSG00000155760	yes	disagreement_rich_positive	1
GALNT1	claude-haiku-4-5	web_ncbi	1	yes	endomembrane_resident	high	4376	341	0	0	0	0.006081	3.766669125005137	Q10472	HGNC:4123	2589	ENSG00000141429	no	wrong_compartment_negative	0
GCGR	claude-haiku-4-5	web_ncbi	1	yes	multipass_with_exposed_loops	high	4292	190	0	0	0	0.005242	2.4407185829477385	P47871	HGNC:4192	2642	ENSG00000215644	yes	gpcr_extracellular_pocket	1
GFRA1	claude-haiku-4-5	web_ncbi	1	yes	gpi_anchored	high	4360	192	0	0	0	0.00532	2.332503125013318	P56159	HGNC:4243	2674	ENSG00000151892	yes	disagreement_rich_positive	1
GIPR	claude-haiku-4-5	web_ncbi	1	yes	classical_surface_receptor	high	4275	805	32845	0	2	0.06935625	10.539484957989771	P48546	HGNC:4271	2696	ENSG00000010310	yes	gpcr_extracellular_pocket	1
GNAQ	claude-haiku-4-5	web_ncbi	1	no	cytoplasmic	high	4253	297	0	0	0	0.005738	3.8712924999999814	P50148	HGNC:4390	2776	ENSG00000156052	no	wrong_side_negative	1
GNB1	claude-haiku-4-5	web_ncbi	1	no	cytoplasmic	high	4275	200	0	0	0	0.005275	2.7490353750181384	P62873	HGNC:4396	2782	ENSG00000078369	no	wrong_side_negative	1
GPBAR1	claude-haiku-4-5	web_ncbi	1	yes	multipass_with_exposed_loops	high	4308	221	0	0	0	0.005413	2.788345999957528	Q8TDU6	HGNC:19680	151306	ENSG00000179921	yes	gpcr_extracellular_pocket	1
GPC2	claude-haiku-4-5	web_ncbi	1	yes	gpi_anchored	high	4221	945	46322	0	3	0.0968485	11.688664542045444	Q8N158	HGNC:4450	221914	ENSG00000213420	yes	gpi_anchored_positive	1
GPC3	claude-haiku-4-5	web_ncbi	1	yes	gpi_anchored	high	4311	245	0	0	0	0.005536	2.92481229203986	P51654	HGNC:4451	2719	ENSG00000147257	yes	gpi_anchored_positive	1
GPNMB	claude-haiku-4-5	web_ncbi	1	yes	classical_surface_receptor	high	4285	991	23246	0	2	0.0582975	11.562737291969825	Q14956	HGNC:4462	10457	ENSG00000136235	yes	disagreement_rich_positive	1
GPRC5D	claude-haiku-4-5	web_ncbi	1	yes	multipass_with_exposed_loops	high	4212	675	30311	0	2	0.06547575	7.975936124974396	Q9NZD1	HGNC:13310	55507	ENSG00000111291	yes	disagreement_rich_positive	1
GRM4	claude-haiku-4-5	web_ncbi	1	yes	multipass_with_exposed_loops	high	4310	221	0	0	0	0.005415	2.785383709007874	Q14833	HGNC:4596	2914	ENSG00000124493	yes	gpcr_extracellular_pocket	1
GUCY2C	claude-haiku-4-5	web_ncbi	1	yes	classical_surface_receptor	high	4289	219	0	0	0	0.005384	2.6416837080032565	P25092	HGNC:4688	2984	ENSG00000070019	yes	disagreement_rich_positive	1
GYPA	claude-haiku-4-5	web_ncbi	1	yes	classical_surface_receptor	high	4371	727	26162	0	2	0.0607085	8.817047832999378	P02724	HGNC:4702	2993	ENSG00000170180	yes	disagreement_rich_positive	1
HCK	claude-haiku-4-5	web_ncbi	1	no	inner_leaflet_anchored	high	4330	1030	30436	0	2	0.067525	15.424946416984312	P08631	HGNC:4840	3055	ENSG00000101336	no	wrong_side_negative	1
HDAC6	claude-haiku-4-5	web_ncbi	1	no	cytoplasmic	high	4336	951	54349	0	3	0.10702725	11.7822299580439	Q9UBN7	HGNC:14064	10013	ENSG00000094631	no	approved_drug_intracellular_negative	1
HMGB1	claude-haiku-4-5	web_ncbi	1	contextual	cell_state_induced	high	4278	954	35493	0	2	0.07341425	12.10454283299623	P09429	HGNC:4983	3146	ENSG00000189403	no	nuclear_negative	0
HNRNPK	claude-haiku-4-5	web_ncbi	1	no	nuclear	high	4325	307	0	0	0	0.00586	4.714147874969058	P61978	HGNC:5044	3190	ENSG00000165119	no	nuclear_negative	1
HRH2	claude-haiku-4-5	web_ncbi	1	yes	multipass_with_exposed_loops	high	4291	195	0	0	0	0.005266	2.552835790964309	P25021	HGNC:5183	3274	ENSG00000113749	yes	gpcr_extracellular_pocket	1
HSPA1A	claude-haiku-4-5	web_ncbi	1	no	cytoplasmic	high	4349	349	0	0	0	0.006094	4.217731249984354	P0DMV8	HGNC:5232	3303	ENSG00000204389	contextual	induced_borderline	0
HSPA5	claude-haiku-4-5	web_ncbi	1	contextual	cell_state_induced	medium	4326	306	0	0	0	0.005856	4.4402233340078965	P11021	HGNC:5238	3309	ENSG00000044574	contextual	induced_borderline	1
HSPD1	claude-haiku-4-5	web_ncbi	1	contextual	cell_state_induced	medium	4314	296	0	0	0	0.005794	3.9266432090080343	P10809	HGNC:5261	3329	ENSG00000144381	contextual	dual_localization_borderline	1
HTR2C	claude-haiku-4-5	web_ncbi	1	yes	multipass_with_exposed_loops	high	4329	215	0	0	0	0.005404	2.40603066701442	P28335	HGNC:5295	3358	ENSG00000147246	yes	gpcr_extracellular_pocket	1
IGF1	claude-haiku-4-5	web_ncbi	1	contextual	dual_localization	medium	4267	280	0	0	0	0.005667	3.775088082998991	P05019	HGNC:5464	3479	ENSG00000017427	no	secreted_negative	0
IKBKB	claude-haiku-4-5	web_ncbi	1	no	cytoplasmic	high	4295	666	22593	0	2	0.055866250000000006	8.998187791963574	O14920	HGNC:5960	3551	ENSG00000104365	no	approved_drug_intracellular_negative	1
IL6	claude-haiku-4-5	web_ncbi	1	no	secreted_only	high	4313	898	36897	0	2	0.07492425	11.102105458965525	P05231	HGNC:6018	3569	ENSG00000136244	no	secreted_negative	1
ITPR1	claude-haiku-4-5	web_ncbi	1	no	endomembrane_resident	high	4333	248	0	0	0	0.005573	3.148859791981522	Q14643	HGNC:6180	3708	ENSG00000150995	no	wrong_compartment_negative	1
ITPR3	claude-haiku-4-5	web_ncbi	1	no	endomembrane_resident	high	4329	314	0	0	0	0.005899	4.0943845409783535	Q14573	HGNC:6182	3710	ENSG00000096433	no	wrong_compartment_negative	1
IZUMO1	claude-haiku-4-5	web_ncbi	1	contextual	cell_state_induced	high	4256	852	32687	0	2	0.06937475	9.732106624986045	Q8IYV9	HGNC:28539	284359	ENSG00000182264	contextual	induced_borderline	1
IZUMO4	claude-haiku-4-5	web_ncbi	1	no	secreted_only	medium	4179	787	31758	0	2	0.0678115	9.74845345900394	Q1ZYL8	HGNC:26950	113177	ENSG00000099840	contextual	induced_borderline	0
JAK1	claude-haiku-4-5	web_ncbi	1	no	cytoplasmic	high	4308	891	47496	0	3	0.098133	10.957968208997045	P23458	HGNC:6190	3716	ENSG00000162434	no	approved_drug_intracellular_negative	1
JAK2	claude-haiku-4-5	web_ncbi	1	no	cytoplasmic	high	4323	1013	33443	0	2	0.07119175	12.457732832990587	O60674	HGNC:6192	3717	ENSG00000096968	no	approved_drug_intracellular_negative	1
JAK3	claude-haiku-4-5	web_ncbi	1	no	cytoplasmic	high	4280	189	0	0	0	0.005225	2.7495404169894755	P52333	HGNC:6193	3718	ENSG00000105639	no	approved_drug_intracellular_negative	1
KLK2	claude-haiku-4-5	web_ncbi	1	yes	classical_surface_receptor	high	4301	691	32520	0	2	0.068406	8.699521500035189	P20151	HGNC:6363	3817	ENSG00000167751	contextual	disagreement_rich_positive	1
KRAS	claude-haiku-4-5	web_ncbi	1	no	inner_leaflet_anchored	high	4391	388	0	0	0	0.006331	4.626465040957555	P01116	HGNC:6407	3845	ENSG00000133703	no	wrong_side_negative	1
LAMP1	claude-haiku-4-5	web_ncbi	1	contextual	lysosomal_exocytosis	high	4225	800	30286	0	2	0.0660825	10.872545542020816	P11279	HGNC:6499	3916	ENSG00000185896	contextual	induced_borderline	1
LAMP2	claude-haiku-4-5	web_ncbi	1	contextual	cell_state_induced	high	4270	1183	36933	0	2	0.07635125	14.26281275000656	P13473	HGNC:6501	3920	ENSG00000005893	contextual	induced_borderline	1
LAMP3	claude-haiku-4-5	web_ncbi	1	contextual	cell_state_induced	medium	4315	1222	34754	0	2	0.0738675	15.25875650002854	Q9UQV4	HGNC:14582	27074	ENSG00000078081	contextual	lysosomal_exocytosis_borderline	1
LGR5	claude-haiku-4-5	web_ncbi	1	yes	multipass_with_exposed_loops	high	4295	1022	56046	0	3	0.1094625	11.31209158297861	O75473	HGNC:4504	8549	ENSG00000139292	yes	disagreement_rich_positive	1
LRRC32	claude-haiku-4-5	web_ncbi	1	yes	classical_surface_receptor	high	4217	1119	35312	0	2	0.073952	13.838066667027306	Q14392	HGNC:4161	2615	ENSG00000137507	yes	disagreement_rich_positive	1
LRRK2	claude-haiku-4-5	web_ncbi	1	contextual	dual_localization	medium	4335	1183	38842	0	2	0.0788025	13.995739082980435	Q5S007	HGNC:18618	120892	ENSG00000188906	no	approved_drug_intracellular_negative	0
LY6K	claude-haiku-4-5	web_ncbi	1	yes	gpi_anchored	high	4254	906	28610	0	2	0.0645465	10.814255874953233	Q17RY6	HGNC:24225	54742	ENSG00000160886	contextual	gpi_anchored_positive	1
LYN	claude-haiku-4-5	web_ncbi	1	yes	inner_leaflet_anchored	high	4250	852	31493	0	2	0.06787625	9.447393082955386	P07948	HGNC:6735	4067	ENSG00000254087	contextual	wrong_side_borderline	1
LYPD1	claude-haiku-4-5	web_ncbi	1	yes	gpi_anchored	high	4264	713	20468	0	2	0.053414	8.317451207956765	Q8N2G4	HGNC:28431	116372	ENSG00000150551	yes	gpi_anchored_positive	1
LYPD3	claude-haiku-4-5	web_ncbi	1	yes	gpi_anchored	high	4208	860	30256	0	2	0.066328	9.671904542017728	O95274	HGNC:24880	27076	ENSG00000124466	yes	gpi_anchored_positive	1
