gene_symbol	hgnc_id	uniprot_accession	ensembl_gene	ncbi_gene_id	n_db_votes	uniprot_flag	go_flag	surfy_flag	cspa_flag	hpa_flag	deeptmhmm_flag	compartments_flag	sonnet_verdict	sonnet_confidence	sonnet_reason	pubmed_verdict	pubmed_confidence	source	src_uniprot	src_go	src_hpa	src_surfy	src_cspa	src_sonnet	up_length	up_tm_count	up_signal_count	up_topo_extracellular_count	up_lipidation_count	up_glyc_count	up_keywords	up_has_signal	up_has_tm	up_has_glyc	up_has_lipidation	up_has_extracellular_topo	up_multi_pass	topo_gpi_anchored	topo_intramembrane	topo_gpcr_7tm	topo_multi_pass_tm	topo_single_pass_tm	topo_signal_only_secreted	topo_inner_leaflet_lipidated	topo_palmitoylated_only	topo_no_tm_no_signal	deeptmhmm_label	deeptm_TM_NO_SP	deeptm_SP_plus_TM	deeptm_SP_only	deeptm_BETA	deeptm_GLOB	gene_group	fam_gpcr	fam_olfactory_receptor	fam_slc_transporter	fam_abc_transporter	fam_cd_molecule	fam_ig_domain	fam_rtk	fam_tetraspanin	fam_cadherin	fam_integrin	fam_voltage_gated_channel	fam_ligand_gated_channel	fam_connexin	fam_claudin	fam_mhc_hla	fam_tnfrsf	fam_chemokine_ligand	fam_chemokine_receptor	fam_ras_gtpase	fam_rho_gtpase	fam_arf_gtpase	fam_src_kinase	fam_g_protein_subunit	schweke_homomer
GABRA2	HGNC:4076	P47869	ENSG00000151834	2555	5	1	1	1	1	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	1	1	1	1	1	451.0	4.0	1.0	3.0	0.0	2.0	3D-structure|Alternative splicing|Cell membrane|Cell projection|Chloride|Chloride channel|Cytoplasmic vesicle|Disease variant|Disulfide bond|Epilepsy|Glycoprotein|Ion channel|Ion transport|Ligand-gated ion channel|Membrane|Postsynaptic cell membrane|Proteomics identification|Receptor|Reference proteome|Signal|Synapse|Transmembrane|Transmembrane helix|Transport	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	SP+TM	0.0	1.0	0.0	0.0	0.0	Gamma-aminobutyric acid type A receptor subunits	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
GABRA3	HGNC:4077	P34903	ENSG00000011677	2556	4	1	1	1	0	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	1	1	1	0	1	492.0	4.0	1.0	3.0	0.0	4.0	3D-structure|Cell membrane|Chloride|Chloride channel|Disease variant|Disulfide bond|Epilepsy|Glycoprotein|Ion channel|Ion transport|Ligand-gated ion channel|Membrane|Phosphoprotein|Postsynaptic cell membrane|Proteomics identification|Receptor|Reference proteome|Signal|Synapse|Transmembrane|Transmembrane helix|Transport	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	SP+TM	0.0	1.0	0.0	0.0	0.0	Gamma-aminobutyric acid type A receptor subunits|MicroRNA protein coding host genes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
GABRA4	HGNC:4078	P48169	ENSG00000109158	2557	3	1	1	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	1	0	1	0	1	554.0	4.0	1.0	3.0	0.0	3.0	3D-structure|Cell membrane|Chloride|Chloride channel|Disulfide bond|Glycoprotein|Ion channel|Ion transport|Ligand-gated ion channel|Membrane|Postsynaptic cell membrane|Proteomics identification|Receptor|Reference proteome|Signal|Synapse|Transmembrane|Transmembrane helix|Transport	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	SP+TM	0.0	1.0	0.0	0.0	0.0	Gamma-aminobutyric acid type A receptor subunits	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
GABRA5	HGNC:4079	P31644	ENSG00000186297	2558	4	1	1	1	0	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	1	1	1	0	1	462.0	4.0	1.0	3.0	0.0	4.0	3D-structure|Cell membrane|Chloride|Chloride channel|Disease variant|Disulfide bond|Epilepsy|Glycoprotein|Ion channel|Ion transport|Isopeptide bond|Ligand-gated ion channel|Membrane|Postsynaptic cell membrane|Proteomics identification|Receptor|Reference proteome|Signal|Synapse|Transmembrane|Transmembrane helix|Transport|Ubl conjugation	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	SP+TM	0.0	1.0	0.0	0.0	0.0	Gamma-aminobutyric acid type A receptor subunits	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
GABRA6	HGNC:4080	Q16445	ENSG00000145863	2559	3	1	1	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	1	0	1	0	1	453.0	4.0	1.0	3.0	0.0	3.0	Cell membrane|Chloride|Chloride channel|Disulfide bond|Glycoprotein|Ion channel|Ion transport|Ligand-gated ion channel|Membrane|Phosphoprotein|Postsynaptic cell membrane|Proteomics identification|Receptor|Reference proteome|Signal|Synapse|Transmembrane|Transmembrane helix|Transport	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	SP+TM	0.0	1.0	0.0	0.0	0.0	Gamma-aminobutyric acid type A receptor subunits	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
GABRB1	HGNC:4081	P18505	ENSG00000163288	2560	2	1	0	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	0	0	1	0	1	474.0	4.0	1.0	1.0	0.0	2.0	3D-structure|Alternative splicing|Cell membrane|Chloride|Chloride channel|Disease variant|Disulfide bond|Epilepsy|Glycoprotein|Ion channel|Ion transport|Ligand-gated ion channel|Membrane|Postsynaptic cell membrane|Proteomics identification|Receptor|Reference proteome|Signal|Synapse|Transmembrane|Transmembrane helix|Transport	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	SP+TM	0.0	1.0	0.0	0.0	0.0	Gamma-aminobutyric acid type A receptor subunits	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
GABRB2	HGNC:4082	P47870	ENSG00000145864	2561	3	1	1	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	1	0	1	0	1	512.0	4.0	1.0	3.0	0.0	3.0	3D-structure|Alternative splicing|Cell membrane|Chloride|Chloride channel|Cytoplasmic vesicle|Disease variant|Disulfide bond|Epilepsy|Glycoprotein|Ion channel|Ion transport|Ligand-gated ion channel|Membrane|Phosphoprotein|Postsynaptic cell membrane|Proteomics identification|Receptor|Reference proteome|Signal|Synapse|Transmembrane|Transmembrane helix|Transport	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	SP+TM	0.0	1.0	0.0	0.0	0.0	Gamma-aminobutyric acid type A receptor subunits	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
GABRB3	HGNC:4083	P28472	ENSG00000166206	2562	4	1	1	1	1	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	1	0	1	1	1	473.0	4.0	1.0	3.0	0.0	3.0	3D-structure|Alternative splicing|Cell membrane|Chloride|Chloride channel|Cytoplasmic vesicle|Direct protein sequencing|Disease variant|Disulfide bond|Epilepsy|Glycoprotein|Ion channel|Ion transport|Ligand-gated ion channel|Membrane|Postsynaptic cell membrane|Proteomics identification|Receptor|Reference proteome|Signal|Synapse|Transmembrane|Transmembrane helix|Transport	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	SP+TM	0.0	1.0	0.0	0.0	0.0	Gamma-aminobutyric acid type A receptor subunits	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
GABRD	HGNC:4084	O14764	ENSG00000187730	2563	2	1	0	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	0	0	1	0	1	452.0	4.0	1.0	3.0	0.0	2.0	3D-structure|Cell membrane|Chloride|Chloride channel|Disease variant|Disulfide bond|Epilepsy|Glycoprotein|Ion channel|Ion transport|Membrane|Phosphoprotein|Proteomics identification|Reference proteome|Signal|Transmembrane|Transmembrane helix|Transport	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	SP+TM	0.0	1.0	0.0	0.0	0.0	Gamma-aminobutyric acid type A receptor subunits	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
GABRE	HGNC:4085	P78334	ENSG00000102287	2564	3	1	1	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	1	0	1	0	1	506.0	4.0	1.0	2.0	0.0	2.0	Alternative splicing|Cell membrane|Chloride|Chloride channel|Disulfide bond|Glycoprotein|Ion channel|Ion transport|Membrane|Postsynaptic cell membrane|Proteomics identification|Reference proteome|Signal|Synapse|Transmembrane|Transmembrane helix|Transport	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	SP+TM	0.0	1.0	0.0	0.0	0.0	Gamma-aminobutyric acid type A receptor subunits|MicroRNA protein coding host genes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
GABRG1	HGNC:4086	Q8N1C3	ENSG00000163285	2565	4	1	1	1	0	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	1	1	1	0	1	465.0	4.0	1.0	2.0	0.0	3.0	Cell membrane|Chloride|Chloride channel|Disulfide bond|Glycoprotein|Ion channel|Ion transport|Lipoprotein|Membrane|Palmitate|Postsynaptic cell membrane|Proteomics identification|Reference proteome|Signal|Synapse|Transmembrane|Transmembrane helix|Transport	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	SP+TM	0.0	1.0	0.0	0.0	0.0	Gamma-aminobutyric acid type A receptor subunits	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
GABRG2	HGNC:4087	P18507	ENSG00000113327	2566	3	1	1	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	1	0	1	0	1	475.0	4.0	1.0	3.0	0.0	3.0	3D-structure|Alternative splicing|Cell membrane|Cell projection|Chloride|Chloride channel|Cytoplasmic vesicle|Disease variant|Disulfide bond|Epilepsy|Glycoprotein|Ion channel|Ion transport|Lipoprotein|Membrane|Palmitate|Postsynaptic cell membrane|Proteomics identification|Reference proteome|Signal|Synapse|Transmembrane|Transmembrane helix|Transport	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	SP+TM	0.0	1.0	0.0	0.0	0.0	Gamma-aminobutyric acid type A receptor subunits	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
GABRG3	HGNC:4088	Q99928	ENSG00000182256	2567	4	1	1	1	0	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	1	1	1	0	1	467.0	4.0	1.0	2.0	0.0	2.0	Alternative splicing|Cell membrane|Chloride|Chloride channel|Disulfide bond|Glycoprotein|Ion channel|Ion transport|Lipoprotein|Membrane|Palmitate|Postsynaptic cell membrane|Proteomics identification|Reference proteome|Signal|Synapse|Transmembrane|Transmembrane helix|Transport	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	SP+TM	0.0	1.0	0.0	0.0	0.0	Gamma-aminobutyric acid type A receptor subunits	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
GABRP	HGNC:4089	O00591	ENSG00000094755	2568	2	1	0	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	0	0	1	0	1	440.0	4.0	1.0	2.0	0.0	5.0	3D-structure|Cell membrane|Chloride|Chloride channel|Disulfide bond|Glycoprotein|Ion channel|Ion transport|Membrane|Proteomics identification|Reference proteome|Signal|Transmembrane|Transmembrane helix|Transport	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	SP+TM	0.0	1.0	0.0	0.0	0.0	Gamma-aminobutyric acid type A receptor subunits	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
GABRQ	HGNC:14454	Q9UN88	ENSG00000268089	55879	2	1	0	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	0	0	1	0	1	632.0	4.0	1.0	2.0	0.0	1.0	Cell membrane|Chloride|Chloride channel|Disulfide bond|Glycoprotein|Ion channel|Ion transport|Membrane|Postsynaptic cell membrane|Proteomics identification|Reference proteome|Signal|Synapse|Transmembrane|Transmembrane helix|Transport	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	SP+TM	0.0	1.0	0.0	0.0	0.0	Gamma-aminobutyric acid type A receptor subunits	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
GABRR1	HGNC:4090	P24046	ENSG00000146276	2569	2	1	0	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	0	0	1	0	1	479.0	4.0	1.0	3.0	0.0	3.0	3D-structure|Alternative splicing|Cell membrane|Chloride|Chloride channel|Disulfide bond|Glycoprotein|Ion channel|Ion transport|Membrane|Postsynaptic cell membrane|Reference proteome|Signal|Synapse|Transmembrane|Transmembrane helix|Transport	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	SP+TM	0.0	1.0	0.0	0.0	0.0	Gamma-aminobutyric acid type A receptor subunits	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
GABRR2	HGNC:4091	P28476	ENSG00000111886	2570	2	1	0	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	0	0	1	0	1	465.0	4.0	1.0	3.0	0.0	2.0	Alternative initiation|Cell membrane|Chloride|Chloride channel|Disulfide bond|Glycoprotein|Ion channel|Ion transport|Membrane|Postsynaptic cell membrane|Reference proteome|Signal|Synapse|Transmembrane|Transmembrane helix|Transport	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	SP+TM	0.0	1.0	0.0	0.0	0.0	Gamma-aminobutyric acid type A receptor subunits	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
GABRR3	HGNC:17969	A8MPY1	ENSG00000183185	200959	2	1	0	1	0	0	0	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	0	0	1	0	1	467.0	4.0	1.0	2.0	0.0	1.0	Cell membrane|Chloride|Chloride channel|Disulfide bond|Glycoprotein|Ion channel|Ion transport|Membrane|Postsynaptic cell membrane|Reference proteome|Signal|Synapse|Transmembrane|Transmembrane helix|Transport	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0							Gamma-aminobutyric acid type A receptor subunits	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
GALR1	HGNC:4132	P47211	ENSG00000166573	2587	3	1	0	1	0	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	0	1	1	0	1	349.0	7.0	0.0	4.0	1.0	3.0	3D-structure|Cell membrane|Disulfide bond|G-protein coupled receptor|Glycoprotein|Lipoprotein|Membrane|Palmitate|Receptor|Reference proteome|Transducer|Transmembrane|Transmembrane helix	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	TM	1.0	0.0	0.0	0.0	0.0	Galanin receptors	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GALR2	HGNC:4133	O43603	ENSG00000182687	8811	2	1	0	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	0	0	1	0	1	387.0	7.0	0.0	4.0	0.0	2.0	3D-structure|Cell membrane|Disulfide bond|G-protein coupled receptor|Glycoprotein|Membrane|Proteomics identification|Receptor|Reference proteome|Transducer|Transmembrane|Transmembrane helix	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	TM	1.0	0.0	0.0	0.0	0.0	Galanin receptors	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GALR3	HGNC:4134	O60755	ENSG00000128310	8484	2	1	0	1	0	0	0	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	0	0	1	0	1	368.0	7.0	0.0	4.0	1.0	1.0	Cell membrane|Disulfide bond|G-protein coupled receptor|Glycoprotein|Lipoprotein|Membrane|Palmitate|Receptor|Reference proteome|Transducer|Transmembrane|Transmembrane helix	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0							Galanin receptors	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GAP43	HGNC:4140	P17677	ENSG00000172020	2596	2	0	1	0	0	1	0	0	no	high	inner_leaflet_anchored			m1_only	0	1	1	0	0	0	238.0	0.0	0.0	0.0	2.0	0.0	Alternative splicing|Calmodulin-binding|Cell membrane|Cell projection|Cytoplasm|Developmental protein|Differentiation|Growth regulation|Lipoprotein|Membrane|Neurogenesis|Palmitate|Phosphoprotein|Proteomics identification|Reference proteome|Synapse	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0																															0.0
GAPDH	HGNC:4141	P04406	ENSG00000111640	2597	1	0	0	0	0	1	0	1	no	medium	cytoplasmic			m1_only	0	0	1	0	0	0																																																					1.0
GAPT	HGNC:26588	Q8N292	ENSG00000175857	202309	2	1	0	0	0	1	0	0	yes	medium	classical_surface_receptor			m1_and_sonnet	1	0	1	0	0	1	157.0	1.0	0.0	0.0	0.0	0.0	B-cell activation|Cell membrane|Membrane|Proteomics identification|Reference proteome|Transmembrane|Transmembrane helix	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0																															0.0
GAPVD1	HGNC:23375	Q14C86	ENSG00000165219	26130	1	0	0	0	0	1	0	0	no	medium	inner_leaflet_anchored			m1_only	0	0	1	0	0	0																													VPS9 domain containing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GARS1	HGNC:4162	P41250	ENSG00000106105	2617	0	0	0	0	0	0	0	0	contextual	medium	dual_localization			sonnet_only	0	0	0	0	0	1																													Aminoacyl tRNA synthetases, Class II	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
GAS1	HGNC:4165	P54826	ENSG00000180447	2619	2	1	0	1	0	0	0	0	yes	high	gpi_anchored			m1_and_sonnet	1	0	0	1	0	1	345.0	0.0	1.0	0.0	1.0	1.0	3D-structure|Cell cycle|Cell membrane|Glycoprotein|GPI-anchor|Growth arrest|Lipoprotein|Membrane|Proteomics identification|Reference proteome|Signal	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	SP	0.0	0.0	1.0	0.0	0.0																									0.0
GBA1	HGNC:4177	P04062	ENSG00000177628	2629	0	0	0	0	0	0	0	0	contextual	medium	lysosomal_exocytosis			sonnet_only	0	0	0	0	0	1																													Glycoside hydrolase family|Glucosylceramidases	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GBA2	HGNC:18986	Q9HCG7	ENSG00000070610	57704	0	0	0	0	0	0	0	0	no	medium	endomembrane_resident	yes	high	sonnet_only	0	0	0	0	0	0																													Glycoside hydrolase family|Glucosylceramidases	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
GC	HGNC:4187	P02774	ENSG00000145321	2638	0	0	0	0	0	0	0	0	contextual	medium	dual_localization			sonnet_only	0	0	0	0	0	1																													Albuminoid family	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GCGR	HGNC:4192	P47871	ENSG00000215644	2642	2	1	0	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	0	0	1	0	1	477.0	7.0	1.0	4.0	0.0	4.0	3D-structure|Cell membrane|Diabetes mellitus|Disease variant|Disulfide bond|G-protein coupled receptor|Glycoprotein|Membrane|Phosphoprotein|Proteomics identification|Receptor|Reference proteome|Signal|Transducer|Transmembrane|Transmembrane helix	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	SP+TM	0.0	1.0	0.0	0.0	0.0	Glucagon receptor family	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GDAP2	HGNC:18010	Q9NXN4	ENSG00000196505	54834	0	0	0	0	0	0	0	0	contextual	low	lysosomal_exocytosis			sonnet_only	0	0	0	0	0	1																													BCH domain containing |Macro domain containing|CRAL-TRIO lipid binding domain containing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GDE1	HGNC:29644	Q9NZC3	ENSG00000006007	51573	2	1	0	0	0	1	0	0	yes	medium	multipass_with_exposed_loops			m1_and_sonnet	1	0	1	0	0	1	331.0	2.0	0.0	0.0	0.0	2.0	Cell membrane|Cytoplasmic vesicle|Glycoprotein|Hydrolase|Lipid metabolism|Magnesium|Membrane|Metal-binding|Proteomics identification|Reference proteome|Transmembrane|Transmembrane helix	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0																															0.0
GDPD2	HGNC:25974	Q9HCC8	ENSG00000130055	54857	2	1	0	1	0	0	1	0	no	medium	cytoplasmic			m1_only	1	0	0	1	0	0	539.0	6.0	0.0	3.0	0.0	1.0	Alternative splicing|Cell membrane|Cytoplasm|Cytoskeleton|Glycoprotein|Hydrolase|Membrane|Metal-binding|Proteomics identification|Reference proteome|Transmembrane|Transmembrane helix	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	TM	1.0	0.0	0.0	0.0	0.0																									0.0
GDPD4	HGNC:24849	Q6W3E5	ENSG00000178795	220032	1	1	0	0	0	0	0	0	no	medium	endomembrane_resident			m1_only	1	0	0	0	0	0	623.0	6.0	0.0	3.0	0.0	2.0	Alternative splicing|Glycoprotein|Hydrolase|Membrane|Metal-binding|Reference proteome|Transmembrane|Transmembrane helix	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0																															0.0
GDPD5	HGNC:28804	Q8WTR4	ENSG00000158555	81544	3	1	1	1	0	0	1	0	contextual	medium	dual_localization			m1_and_sonnet	1	1	0	1	0	1	605.0	6.0	0.0	3.0	0.0	5.0	Alternative splicing|Cell projection|Cytoplasm|Disulfide bond|Glycoprotein|Hydrolase|Lipid metabolism|Membrane|Neurogenesis|Proteomics identification|Reference proteome|Transmembrane|Transmembrane helix	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	TM	1.0	0.0	0.0	0.0	0.0																									0.0
GFOD1	HGNC:21096	Q9NXC2	ENSG00000145990	54438	1	0	0	0	0	1	0	0	contextual	low	dual_localization			m1_and_sonnet	0	0	1	0	0	1																													Gfo/Idh/MocA-like oxidoreductase domain containing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
GFOD2	HGNC:28159	Q3B7J2	ENSG00000141098	81577	0	0	0	0	0	0	0	0	contextual	low	stable_surface_attachment			sonnet_only	0	0	0	0	0	1																													Gfo/Idh/MocA-like oxidoreductase domain containing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
