gene_symbol	hgnc_id	uniprot_acc	prior_reason
DNMBP	HGNC:30373	Q6XZF7	cytoplasmic
DNMT1	HGNC:2976	P26358	nuclear
DNMT3A	HGNC:2978	Q9Y6K1	nuclear
DNMT3B	HGNC:2979	Q9UBC3	nuclear
DNMT3L	HGNC:2980	Q9UJW3	nuclear
DNPEP	HGNC:2981	Q9ULA0	cytoplasmic
DNPH1	HGNC:21218	O43598	cytoplasmic
DNTT	HGNC:2983	P04053	nuclear
DNTTIP1	HGNC:16160	Q9H147	nuclear
DNTTIP2	HGNC:24013	Q5QJE6	nuclear
DOCK10	HGNC:23479	Q96BY6	cytoplasmic
DOCK11	HGNC:23483	Q5JSL3	cytoplasmic
DOCK2	HGNC:2988	Q92608	cytoplasmic
DOCK3	HGNC:2989	Q8IZD9	cytoplasmic
DOCK5	HGNC:23476	Q9H7D0	cytoplasmic
DOCK6	HGNC:19189	Q96HP0	cytoplasmic
DOCK7	HGNC:19190	Q96N67	cytoplasmic
DOHH	HGNC:28662	Q9BU89	cytoplasmic
DOK4	HGNC:19868	Q8TEW6	cytoplasmic
DOK6	HGNC:28301	Q6PKX4	cytoplasmic
DOK7	HGNC:26594	Q18PE1	cytoplasmic
DORIP1	HGNC:19834	Q4W4Y0	cytoplasmic
DOT1L	HGNC:24948	Q8TEK3	nuclear
DPEP2NB	HGNC:52385	A0A0U1RQF7	cytoplasmic
DPF1	HGNC:20225	Q92782	nuclear
DPF2	HGNC:9964	Q92785	nuclear
DPF3	HGNC:17427	Q92784	nuclear
DPH2	HGNC:3004	Q9BQC3	cytoplasmic
DPH3	HGNC:27717	Q96FX2	cytoplasmic
DPH5	HGNC:24270	Q9H2P9	cytoplasmic
DPH6	HGNC:30543	Q7L8W6	cytoplasmic
DPH7	HGNC:25199	Q9BTV6	cytoplasmic
DPP3	HGNC:3008	Q9NY33	cytoplasmic
DPP8	HGNC:16490	Q6V1X1	cytoplasmic
DPP9	HGNC:18648	Q86TI2	cytoplasmic
DPPA2	HGNC:19197	Q7Z7J5	nuclear
DPPA3	HGNC:19199	Q6W0C5	cytoplasmic
DPPA4	HGNC:19200	Q7L190	nuclear
DPPA5	HGNC:19201	A6NC42	cytoplasmic
DPRX	HGNC:32166	A6NFQ7	nuclear
DPY30	HGNC:24590	Q9C005	nuclear
DPYD	HGNC:3012	Q12882	cytoplasmic
DPYS	HGNC:3013	Q14117	cytoplasmic
DPYSL2	HGNC:3014	Q16555	cytoplasmic
DPYSL3	HGNC:3015	Q14195	cytoplasmic
DPYSL4	HGNC:3016	O14531	cytoplasmic
DPYSL5	HGNC:20637	Q9BPU6	cytoplasmic
DQX1	HGNC:20410	Q8TE96	nuclear
DR1	HGNC:3017	Q01658	nuclear
DRAP1	HGNC:3019	Q14919	nuclear
DRC1	HGNC:24245	Q96MC2	cytoplasmic
DRC10	HGNC:25168	Q96DY2	cytoplasmic
DRC11	HGNC:26195	Q86XH1	cytoplasmic
DRC11L	HGNC:22831	A6NCM1	cytoplasmic
DRC12	HGNC:27446	Q494R4	cytoplasmic
DRC2	HGNC:29937	Q8IXS2	cytoplasmic
DRC3	HGNC:25384	Q9H069	cytoplasmic
DRC5	HGNC:11693	Q5JU00	cytoplasmic
DRC7	HGNC:25289	Q8IY82	cytoplasmic
DRC9	HGNC:25251	Q9H095	cytoplasmic
DRG1	HGNC:3029	Q9Y295	cytoplasmic
DRG2	HGNC:3030	P55039	cytoplasmic
DRGX	HGNC:21536	A6NNA5	nuclear
DRICH1	HGNC:28031	Q6PGQ1	nuclear
DROSHA	HGNC:17904	Q9NRR4	nuclear
DSCC1	HGNC:24453	Q9BVC3	nuclear
DSN1	HGNC:16165	Q9H410	nuclear
DTD1	HGNC:16219	Q8TEA8	cytoplasmic
DTD2	HGNC:20277	Q96FN9	cytoplasmic
DTHD1	HGNC:37261	Q6ZMT9	cytoplasmic
DTL	HGNC:30288	Q9NZJ0	cytoplasmic
DTWD1	HGNC:30926	Q8N5C7	nuclear
DTWD2	HGNC:19334	Q8NBA8	cytoplasmic
DTX1	HGNC:3060	Q86Y01	cytoplasmic
DTX2	HGNC:15973	Q86UW9	cytoplasmic
DTX3	HGNC:24457	Q8N9I9	cytoplasmic
DTX3L	HGNC:30323	Q8TDB6	cytoplasmic
DTX4	HGNC:29151	Q9Y2E6	cytoplasmic
DTYMK	HGNC:3061	P23919	mitochondrial_internal
DUS2	HGNC:26014	Q9NX74	cytoplasmic
DUS3L	HGNC:26920	Q96G46	cytoplasmic
DUS4L	HGNC:21517	O95620	cytoplasmic
DUSP1	HGNC:3064	P28562	cytoplasmic
DUSP10	HGNC:3065	Q9Y6W6	cytoplasmic
DUSP11	HGNC:3066	O75319	nuclear
DUSP12	HGNC:3067	Q9UNI6	cytoplasmic
DUSP13A	HGNC:56772	Q6B8I1	cytoplasmic
DUSP13B	HGNC:19681	Q9UII6	cytoplasmic
DUSP14	HGNC:17007	O95147	cytoplasmic
DUSP16	HGNC:17909	Q9BY84	cytoplasmic
DUSP18	HGNC:18484	Q8NEJ0	cytoplasmic
DUSP19	HGNC:18894	Q8WTR2	cytoplasmic
DUSP2	HGNC:3068	Q05923	cytoplasmic
DUSP21	HGNC:20476	Q9H596	cytoplasmic
DUSP23	HGNC:21480	Q9BVJ7	nuclear
DUSP26	HGNC:28161	Q9BV47	cytoplasmic
DUSP28	HGNC:33237	Q4G0W2	cytoplasmic
DUSP29	HGNC:23481	Q68J44	cytoplasmic
DUSP4	HGNC:3070	Q13115	cytoplasmic
DUSP5	HGNC:3071	Q16690	nuclear
DUSP6	HGNC:3072	Q16828	cytoplasmic
DUSP7	HGNC:3073	Q16829	cytoplasmic
DUSP8	HGNC:3074	Q13202	cytoplasmic
DUSP9	HGNC:3076	Q99956	cytoplasmic
DUT	HGNC:3078	P33316	cytoplasmic
DUX1	HGNC:3079	O43812	nuclear
DUX3	HGNC:3081	Q96PT4	nuclear
DUX4	HGNC:50800	Q9UBX2	nuclear
DUX5	HGNC:3083	Q96PT3	nuclear
DUXA	HGNC:32179	A6NLW8	nuclear
DUXB	HGNC:33345	A0A1W2PPF3	nuclear
DVL2	HGNC:3086	O14641	cytoplasmic
DYDC1	HGNC:23460	Q8WWB3	cytoplasmic
DYDC2	HGNC:23468	Q96IM9	nuclear
DYNC1H1	HGNC:2961	Q14204	cytoplasmic
DYNC1I1	HGNC:2963	O14576	cytoplasmic
DYNC1I2	HGNC:2964	Q13409	cytoplasmic
DYNC1LI1	HGNC:18745	Q9Y6G9	cytoplasmic
DYNC1LI2	HGNC:2966	O43237	cytoplasmic
DYNC2I1	HGNC:21862	Q8WVS4	cytoplasmic
DYNC2I2	HGNC:28296	Q96EX3	cytoplasmic
DYNC2LI1	HGNC:24595	Q8TCX1	cytoplasmic
DYNLL1	HGNC:15476	P63167	cytoplasmic
DYNLL2	HGNC:24596	Q96FJ2	cytoplasmic
DYNLRB1	HGNC:15468	Q9NP97	cytoplasmic
DYNLRB2	HGNC:15467	Q8TF09	cytoplasmic
DYNLT1	HGNC:11697	P63172	cytoplasmic
DYNLT2	HGNC:11695	Q8IZS6	cytoplasmic
DYNLT2B	HGNC:28482	Q8WW35	cytoplasmic
DYNLT3	HGNC:11694	P51808	cytoplasmic
DYNLT4	HGNC:32315	Q5JR98	cytoplasmic
DYNLT5	HGNC:26882	Q8N7M0	cytoplasmic
DYRK1A	HGNC:3091	Q13627	nuclear
DYRK1B	HGNC:3092	Q9Y463	nuclear
DYRK2	HGNC:3093	Q92630	cytoplasmic
DYRK3	HGNC:3094	O43781	cytoplasmic
DYRK4	HGNC:3095	Q9NR20	cytoplasmic
DYTN	HGNC:23279	A2CJ06	cytoplasmic
DZANK1	HGNC:15858	Q9NVP4	cytoplasmic
DZIP1	HGNC:20908	Q86YF9	cytoplasmic
DZIP1L	HGNC:26551	Q8IYY4	cytoplasmic
DZIP3	HGNC:30938	Q86Y13	cytoplasmic
E2F1	HGNC:3113	Q01094	nuclear
E2F2	HGNC:3114	Q14209	nuclear
E2F3	HGNC:3115	O00716	nuclear
E2F4	HGNC:3118	Q16254	nuclear
E2F5	HGNC:3119	Q15329	nuclear
E2F6	HGNC:3120	O75461	nuclear
E2F7	HGNC:23820	Q96AV8	nuclear
E2F8	HGNC:24727	A0AVK6	nuclear
E4F1	HGNC:3121	Q66K89	nuclear
EAF1	HGNC:20907	Q96JC9	nuclear
EAF2	HGNC:23115	Q96CJ1	nuclear
EAPP	HGNC:19312	Q56P03	nuclear
EARS2	HGNC:29419	Q5JPH6	mitochondrial_internal
EBF1	HGNC:3126	Q9UH73	nuclear
EBF2	HGNC:19090	Q9HAK2	nuclear
EBF3	HGNC:19087	Q9H4W6	nuclear
EBF4	HGNC:29278	Q9BQW3	nuclear
EBLN1	HGNC:39430	P0CF75	nuclear
EBLN2	HGNC:25493	Q6P2I7	cytoplasmic
EBNA1BP2	HGNC:15531	Q99848	nuclear
ECD	HGNC:17029	O95905	nuclear
ECH1	HGNC:3149	Q13011	mitochondrial_internal
ECHDC1	HGNC:21489	Q9NTX5	cytoplasmic
ECHDC2	HGNC:23408	Q86YB7	mitochondrial_internal
ECHDC3	HGNC:23489	Q96DC8	mitochondrial_internal
ECHS1	HGNC:3151	P30084	mitochondrial_internal
ECI1	HGNC:2703	P42126	mitochondrial_internal
ECI2	HGNC:14601	O75521	mitochondrial_internal
ECPAS	HGNC:29020	Q5VYK3	cytoplasmic
ECSIT	HGNC:29548	Q9BQ95	cytoplasmic
ECT2L	HGNC:21118	Q008S8	cytoplasmic
EDARADD	HGNC:14341	Q8WWZ3	cytoplasmic
EDC3	HGNC:26114	Q96F86	cytoplasmic
EDC4	HGNC:17157	Q6P2E9	cytoplasmic
EDF1	HGNC:3164	O60869	nuclear
EDRF1	HGNC:24640	Q3B7T1	nuclear
EEA1	HGNC:3185	Q15075	cytoplasmic
EED	HGNC:3188	O75530	nuclear
EEF1A2	HGNC:3192	Q05639	cytoplasmic
EEF1AKMT2	HGNC:33787	Q5JPI9	cytoplasmic
EEF1AKMT3	HGNC:24936	Q96AZ1	nuclear
EEF1AKMT4	HGNC:53611	P0DPD7	cytoplasmic
EEF1B2	HGNC:3208	P24534	cytoplasmic
EEF1D	HGNC:3211	P29692	cytoplasmic
EEF1E1	HGNC:3212	O43324	cytoplasmic
EEF1G	HGNC:3213	P26641	cytoplasmic
EEF2	HGNC:3214	P13639	cytoplasmic
EEF2K	HGNC:24615	O00418	cytoplasmic
EEF2KMT	HGNC:32221	Q96G04	cytoplasmic
EEFSEC	HGNC:24614	P57772	cytoplasmic
EEIG1	HGNC:31419	Q5T9C2	cytoplasmic
EEIG2	HGNC:27637	Q5T8I3	cytoplasmic
EFCAB10	HGNC:34531	A6NFE3	cytoplasmic
EFCAB12	HGNC:28061	Q6NXP0	cytoplasmic
EFCAB13	HGNC:26864	Q8IY85	cytoplasmic
EFCAB3	HGNC:26379	Q8N7B9	cytoplasmic
EFCAB5	HGNC:24801	A4FU69	cytoplasmic
EFCAB6	HGNC:24204	Q5THR3	cytoplasmic
EFCAB8	HGNC:34532	A8MWE9	cytoplasmic
EFCC1	HGNC:25692	Q9HA90	cytoplasmic
EFHB	HGNC:26330	Q8N7U6	cytoplasmic
EFHC1	HGNC:16406	Q5JVL4	cytoplasmic
EFHC2	HGNC:26233	Q5JST6	cytoplasmic
EFHD1	HGNC:29556	Q9BUP0	mitochondrial_internal
EFHD2	HGNC:28670	Q96C19	cytoplasmic
EFL1	HGNC:25789	Q7Z2Z2	cytoplasmic
EFTUD2	HGNC:30858	Q15029	nuclear
EGLN1	HGNC:1232	Q9GZT9	cytoplasmic
EGLN2	HGNC:14660	Q96KS0	cytoplasmic
EGLN3	HGNC:14661	Q9H6Z9	cytoplasmic
EGR1	HGNC:3238	P18146	nuclear
EGR2	HGNC:3239	P11161	nuclear
EGR3	HGNC:3240	Q06889	nuclear
EGR4	HGNC:3241	Q05215	nuclear
EHD4	HGNC:3245	Q9H223	cytoplasmic
EHF	HGNC:3246	Q9NZC4	nuclear
EHMT1	HGNC:24650	Q9H9B1	nuclear
EHMT2	HGNC:14129	Q96KQ7	nuclear
EID1	HGNC:1191	Q9Y6B2	nuclear
EID2	HGNC:28292	Q8N6I1	nuclear
EID2B	HGNC:26796	Q96D98	nuclear
EID3	HGNC:32961	Q8N140	nuclear
EIF1	HGNC:3249	P41567	cytoplasmic
EIF1AD	HGNC:28147	Q8N9N8	cytoplasmic
EIF1AX	HGNC:3250	P47813	cytoplasmic
EIF1AY	HGNC:3252	O14602	cytoplasmic
EIF1B	HGNC:30792	O60739	cytoplasmic
EIF2A	HGNC:3254	Q9BY44	cytoplasmic
EIF2AK1	HGNC:24921	Q9BQI3	cytoplasmic
EIF2AK2	HGNC:9437	P19525	cytoplasmic
EIF2AK4	HGNC:19687	Q9P2K8	cytoplasmic
EIF2B1	HGNC:3257	Q14232	cytoplasmic
EIF2B3	HGNC:3259	Q9NR50	cytoplasmic
EIF2B4	HGNC:3260	Q9UI10	cytoplasmic
EIF2B5	HGNC:3261	Q13144	cytoplasmic
EIF2D	HGNC:6583	P41214	cytoplasmic
EIF2S1	HGNC:3265	P05198	cytoplasmic
EIF2S2	HGNC:3266	P20042	cytoplasmic
EIF2S3	HGNC:3267	P41091	cytoplasmic
EIF2S3B	HGNC:43863	Q2VIR3	cytoplasmic
EIF3A	HGNC:3271	Q14152	cytoplasmic
EIF3B	HGNC:3280	P55884	cytoplasmic
EIF3C	HGNC:3279	Q99613	cytoplasmic
EIF3CL	HGNC:26347	B5ME19	cytoplasmic
EIF3D	HGNC:3278	O15371	cytoplasmic
EIF3E	HGNC:3277	P60228	cytoplasmic
EIF3F	HGNC:3275	O00303	cytoplasmic
EIF3G	HGNC:3274	O75821	cytoplasmic
EIF3I	HGNC:3272	Q13347	cytoplasmic
EIF3J	HGNC:3270	O75822	cytoplasmic
EIF3K	HGNC:24656	Q9UBQ5	cytoplasmic
EIF3L	HGNC:18138	Q9Y262	cytoplasmic
EIF3M	HGNC:24460	Q7L2H7	cytoplasmic
EIF4A2	HGNC:3284	Q14240	cytoplasmic
EIF4A3	HGNC:18683	P38919	cytoplasmic
EIF4E	HGNC:3287	P06730	cytoplasmic
EIF4E1B	HGNC:33179	A6NMX2	cytoplasmic
EIF4E2	HGNC:3293	O60573	cytoplasmic
EIF4E3	HGNC:31837	Q8N5X7	cytoplasmic
EIF4EBP1	HGNC:3288	Q13541	cytoplasmic
EIF4EBP2	HGNC:3289	Q13542	cytoplasmic
EIF4EBP3	HGNC:3290	O60516	cytoplasmic
EIF4ENIF1	HGNC:16687	Q9NRA8	cytoplasmic
EIF4G1	HGNC:3296	Q04637	cytoplasmic
EIF4G2	HGNC:3297	P78344	cytoplasmic
EIF4G3	HGNC:3298	O43432	cytoplasmic
EIF4H	HGNC:12741	Q15056	cytoplasmic
EIF5A	HGNC:3300	P63241	cytoplasmic
EIF5A2	HGNC:3301	Q9GZV4	cytoplasmic
EIF6	HGNC:6159	P56537	cytoplasmic
EIPR1	HGNC:12383	Q53HC9	cytoplasmic
ELAC1	HGNC:14197	Q9H777	cytoplasmic
ELAC2	HGNC:14198	Q9BQ52	mitochondrial_internal
ELAVL2	HGNC:3313	Q12926	cytoplasmic
ELAVL3	HGNC:3314	Q14576	cytoplasmic
ELAVL4	HGNC:3315	P26378	cytoplasmic
ELF1	HGNC:3316	P32519	nuclear
ELF2	HGNC:3317	Q15723	nuclear
ELF3	HGNC:3318	P78545	nuclear
ELF4	HGNC:3319	Q99607	nuclear
ELF5	HGNC:3320	Q9UKW6	nuclear
ELK1	HGNC:3321	P19419	nuclear
ELK3	HGNC:3325	P41970	nuclear
ELK4	HGNC:3326	P28324	nuclear
ELL	HGNC:23114	P55199	nuclear
ELL2	HGNC:17064	O00472	nuclear
ELL3	HGNC:23113	Q9HB65	nuclear
ELMO1	HGNC:16286	Q92556	cytoplasmic
ELMO2	HGNC:17233	Q96JJ3	cytoplasmic
ELMOD1	HGNC:25334	Q8N336	cytoplasmic
ELMOD2	HGNC:28111	Q8IZ81	cytoplasmic
ELMOD3	HGNC:26158	Q96FG2	cytoplasmic
ELOA	HGNC:11620	Q14241	nuclear
ELOA2	HGNC:30771	Q8IYF1	nuclear
ELOB	HGNC:11619	Q15370	nuclear
ELOF1	HGNC:28691	P60002	nuclear
ELP1	HGNC:5959	O95163	cytoplasmic
ELP2	HGNC:18248	Q6IA86	nuclear
ELP3	HGNC:20696	Q9H9T3	cytoplasmic
ELP4	HGNC:1171	Q96EB1	nuclear
ELP5	HGNC:30617	Q8TE02	cytoplasmic
ELP6	HGNC:25976	Q0PNE2	cytoplasmic
EME1	HGNC:24965	Q96AY2	nuclear
EME2	HGNC:27289	A4GXA9	nuclear
EMG1	HGNC:16912	Q92979	nuclear
EML1	HGNC:3330	O00423	cytoplasmic
EML2	HGNC:18035	O95834	cytoplasmic
EML3	HGNC:26666	Q32P44	cytoplasmic
EML4	HGNC:1316	Q9HC35	cytoplasmic
EML5	HGNC:18197	Q05BV3	cytoplasmic
EML6	HGNC:35412	Q6ZMW3	cytoplasmic
EMSY	HGNC:18071	Q7Z589	nuclear
EMX1	HGNC:3340	Q04741	nuclear
EMX2	HGNC:3341	Q04743	nuclear
EN1	HGNC:3342	Q05925	nuclear
EN2	HGNC:3343	P19622	nuclear
ENC1	HGNC:3345	O14682	cytoplasmic
ENDOG	HGNC:3346	Q14249	mitochondrial_internal
ENDOV	HGNC:26640	Q8N8Q3	cytoplasmic
ENGASE	HGNC:24622	Q8NFI3	cytoplasmic
ENKUR	HGNC:28388	Q8TC29	cytoplasmic
ENO4	HGNC:31670	A6NNW6	cytoplasmic
ENOPH1	HGNC:24599	Q9UHY7	cytoplasmic
ENOSF1	HGNC:30365	Q7L5Y1	mitochondrial_internal
ENSA	HGNC:3360	O43768	cytoplasmic
ENTR1	HGNC:10667	Q96C92	cytoplasmic
ENY2	HGNC:24449	Q9NPA8	nuclear
EOLA1	HGNC:28089	Q8TE69	mitochondrial_internal
EOLA2	HGNC:17402	Q96DE9	mitochondrial_internal
EOMES	HGNC:3372	O95936	nuclear
EP300	HGNC:3373	Q09472	nuclear
EP400	HGNC:11958	Q96L91	nuclear
EPAS1	HGNC:3374	Q99814	nuclear
EPC1	HGNC:19876	Q9H2F5	nuclear
EPC2	HGNC:24543	Q52LR7	nuclear
EPG5	HGNC:29331	Q9HCE0	cytoplasmic
EPHX2	HGNC:3402	P34913	cytoplasmic
EPM2A	HGNC:3413	O95278	cytoplasmic
EPM2AIP1	HGNC:19735	Q7L775	cytoplasmic
EPN2	HGNC:18639	O95208	cytoplasmic
EPOP	HGNC:34493	A6NHQ4	nuclear
EPRS1	HGNC:3418	P07814	cytoplasmic
EPSTI1	HGNC:16465	Q96J88	cytoplasmic
ERAL1	HGNC:3424	O75616	mitochondrial_internal
ERCC1	HGNC:3433	P07992	nuclear
ERCC2	HGNC:3434	P18074	nuclear
ERCC3	HGNC:3435	P19447	nuclear
ERCC4	HGNC:3436	Q92889	nuclear
ERCC5	HGNC:3437	P28715	nuclear
ERCC6	HGNC:3438	Q03468	nuclear
ERCC6L	HGNC:20794	Q2NKX8	nuclear
ERCC6L2	HGNC:26922	Q5T890	nuclear
ERCC8	HGNC:3439	Q13216	nuclear
ERF	HGNC:3444	P50548	nuclear
ERFL	HGNC:53894	A0A1W2PQ73	nuclear
ERG	HGNC:3446	P11308	nuclear
ERH	HGNC:3447	P84090	nuclear
ERI1	HGNC:23994	Q8IV48	cytoplasmic
ERI2	HGNC:30541	A8K979	cytoplasmic
ERI3	HGNC:17276	O43414	cytoplasmic
ERICH1	HGNC:27234	Q86X53	cytoplasmic
ERICH2	HGNC:44395	A1L162	cytoplasmic
ERICH3	HGNC:25346	Q5RHP9	cytoplasmic
ERICH4	HGNC:34497	A6NGS2	cytoplasmic
ERICH5	HGNC:26823	Q6P6B1	cytoplasmic
ERICH6	HGNC:28602	Q7L0X2	nuclear
ERICH6B	HGNC:26523	Q5W0A0	cytoplasmic
ERRFI1	HGNC:18185	Q9UJM3	cytoplasmic
ESCO1	HGNC:24645	Q5FWF5	nuclear
ESD	HGNC:3465	P10768	cytoplasmic
ESF1	HGNC:15898	Q9H501	nuclear
ESPL1	HGNC:16856	Q14674	cytoplasmic
ESPN	HGNC:13281	B1AK53	cytoplasmic
ESPNL	HGNC:27937	Q6ZVH7	cytoplasmic
ESR1	HGNC:3467	P03372	nuclear
ESR2	HGNC:3468	Q92731	cytoplasmic
ESRP1	HGNC:25966	Q6NXG1	nuclear
ESRP2	HGNC:26152	Q9H6T0	nuclear
ESRRA	HGNC:3471	P11474	nuclear
ESRRB	HGNC:3473	O95718	nuclear
ESRRG	HGNC:3474	P62508	nuclear
ESS2	HGNC:16817	Q96DF8	nuclear
ESX1	HGNC:14865	Q8N693	nuclear
ETAA1	HGNC:24648	Q9NY74	nuclear
ETDA	HGNC:53449	Q3ZM63	cytoplasmic
ETDB	HGNC:44269	P0DPP9	cytoplasmic
ETDC	HGNC:53450	A0A1B0GVM5	cytoplasmic
ETF1	HGNC:3477	P62495	cytoplasmic
ETFA	HGNC:3481	P13804	mitochondrial_internal
ETFB	HGNC:3482	P38117	mitochondrial_internal
ETFBKMT	HGNC:28739	Q8IXQ9	mitochondrial_internal
ETFDH	HGNC:3483	Q16134	mitochondrial_internal
ETFRF1	HGNC:27052	Q6IPR1	mitochondrial_internal
ETHE1	HGNC:23287	O95571	mitochondrial_internal
ETNK2	HGNC:25575	Q9NVF9	cytoplasmic
ETNPPL	HGNC:14404	Q8TBG4	mitochondrial_internal
ETS1	HGNC:3488	P14921	nuclear
ETV1	HGNC:3490	P50549	nuclear
ETV2	HGNC:3491	O00321	nuclear
ETV3	HGNC:3492	P41162	nuclear
ETV3L	HGNC:33834	Q6ZN32	nuclear
ETV4	HGNC:3493	P43268	nuclear
ETV5	HGNC:3494	P41161	nuclear
ETV6	HGNC:3495	P41212	nuclear
ETV7	HGNC:18160	Q9Y603	nuclear
EVI5	HGNC:3501	O60447	cytoplasmic
EVI5L	HGNC:30464	Q96CN4	cytoplasmic
EVPLL	HGNC:35236	A8MZ36	cytoplasmic
EVX1	HGNC:3506	P49640	nuclear
EVX2	HGNC:3507	Q03828	nuclear
EWSR1	HGNC:3508	Q01844	nuclear
EXD1	HGNC:28507	Q8NHP7	cytoplasmic
EXD2	HGNC:20217	Q9NVH0	cytoplasmic
EXD3	HGNC:26023	Q8N9H8	cytoplasmic
EXO1	HGNC:3511	Q9UQ84	nuclear
EXO5	HGNC:26115	Q9H790	nuclear
EXOC1L	HGNC:53433	A0A1B0GW35	cytoplasmic
EXOC2	HGNC:24968	Q96KP1	cytoplasmic
EXOC3	HGNC:30378	O60645	cytoplasmic
EXOC3L2	HGNC:30162	Q2M3D2	cytoplasmic
EXOC3L4	HGNC:20120	Q17RC7	cytoplasmic
EXOC5	HGNC:10696	O00471	cytoplasmic
EXOC6	HGNC:23196	Q8TAG9	cytoplasmic
EXOC6B	HGNC:17085	Q9Y2D4	cytoplasmic
EXOC8	HGNC:24659	Q8IYI6	cytoplasmic
EXOG	HGNC:3347	Q9Y2C4	mitochondrial_internal
EXOSC1	HGNC:17286	Q9Y3B2	cytoplasmic
EXOSC10	HGNC:9138	Q01780	nuclear
EXOSC2	HGNC:17097	Q13868	nuclear
EXOSC3	HGNC:17944	Q9NQT5	cytoplasmic
EXOSC4	HGNC:18189	Q9NPD3	cytoplasmic
EXOSC5	HGNC:24662	Q9NQT4	cytoplasmic
EXOSC6	HGNC:19055	Q5RKV6	cytoplasmic
EXOSC7	HGNC:28112	Q15024	cytoplasmic
EXOSC8	HGNC:17035	Q96B26	cytoplasmic
EXOSC9	HGNC:9137	Q06265	cytoplasmic
EXPH5	HGNC:30578	Q8NEV8	cytoplasmic
EYA1	HGNC:3519	Q99502	cytoplasmic
EYA2	HGNC:3520	O00167	nuclear
EYA3	HGNC:3521	Q99504	cytoplasmic
EYA4	HGNC:3522	O95677	nuclear
EZH1	HGNC:3526	Q92800	nuclear
EZH2	HGNC:3527	Q15910	nuclear
EZHIP	HGNC:33738	Q86X51	nuclear
F8A1	HGNC:3547	P23610	cytoplasmic
F8A2	HGNC:31849	P23610	cytoplasmic
F8A3	HGNC:31850	P23610	cytoplasmic
FAAH2	HGNC:26440	Q6GMR7	cytoplasmic
FAAP100	HGNC:26171	Q0VG06	nuclear
FAAP20	HGNC:26428	Q6NZ36	nuclear
FAAP24	HGNC:28467	Q9BTP7	nuclear
FABP1	HGNC:3555	P07148	cytoplasmic
FABP12	HGNC:34524	A6NFH5	cytoplasmic
FABP3	HGNC:3557	P05413	cytoplasmic
FABP6	HGNC:3561	P51161	cytoplasmic
FABP7	HGNC:3562	O15540	cytoplasmic
FABP9	HGNC:3563	Q0Z7S8	cytoplasmic
FAH	HGNC:3579	P16930	cytoplasmic
FAHD1	HGNC:14169	Q6P587	cytoplasmic
FAHD2A	HGNC:24252	Q96GK7	mitochondrial_internal
FAHD2B	HGNC:25318	Q6P2I3	mitochondrial_internal
FAM107B	HGNC:23726	Q9H098	cytoplasmic
FAM110A	HGNC:16188	Q9BQ89	cytoplasmic
FAM110B	HGNC:28587	Q8TC76	cytoplasmic
FAM110D	HGNC:25860	Q8TAY7	cytoplasmic
FAM111A	HGNC:24725	Q96PZ2	nuclear
FAM111B	HGNC:24200	Q6SJ93	nuclear
FAM114A1	HGNC:25087	Q8IWE2	cytoplasmic
FAM114A2	HGNC:1333	Q9NRY5	cytoplasmic
FAM117A	HGNC:24179	Q9C073	cytoplasmic
FAM117B	HGNC:14440	Q6P1L5	cytoplasmic
FAM120A	HGNC:13247	Q9NZB2	cytoplasmic
FAM120B	HGNC:21109	Q96EK7	nuclear
FAM120C	HGNC:16949	Q9NX05	cytoplasmic
FAM124A	HGNC:26413	Q86V42	cytoplasmic
FAM124B	HGNC:26224	Q9H5Z6	mitochondrial_internal
FAM131A	HGNC:28308	Q6UXB0	cytoplasmic
FAM131B	HGNC:22202	Q86XD5	cytoplasmic
FAM131C	HGNC:26717	Q96AQ9	cytoplasmic
FAM133A	HGNC:26748	Q8N9E0	cytoplasmic
FAM133B	HGNC:28629	Q5BKY9	cytoplasmic
FAM135A	HGNC:21084	Q9P2D6	cytoplasmic
FAM135B	HGNC:28029	Q49AJ0	cytoplasmic
FAM13B	HGNC:1335	Q9NYF5	cytoplasmic
FAM13C	HGNC:19371	Q8NE31	cytoplasmic
FAM149A	HGNC:24527	A5PLN7	cytoplasmic
FAM149B1	HGNC:29162	Q96BN6	cytoplasmic
FAM153A	HGNC:29940	Q9UHL3	cytoplasmic
FAM161A	HGNC:25808	Q3B820	cytoplasmic
FAM162A	HGNC:17865	Q96A26	mitochondrial_internal
FAM167A	HGNC:15549	Q96KS9	cytoplasmic
FAM167B	HGNC:28133	Q9BTA0	cytoplasmic
FAM168A	HGNC:28999	Q92567	nuclear
FAM170A	HGNC:27963	A1A519	nuclear
FAM177A1	HGNC:19829	Q8N128	cytoplasmic
FAM177B	HGNC:34395	A6PVY3	cytoplasmic
FAM178B	HGNC:28036	Q8IXR5	cytoplasmic
FAM181A	HGNC:20491	Q8N9Y4	cytoplasmic
FAM181B	HGNC:28512	A6NEQ2	cytoplasmic
FAM184A	HGNC:20991	Q8NB25	cytoplasmic
FAM184B	HGNC:29235	Q9ULE4	cytoplasmic
FAM185A	HGNC:22412	Q8N0U4	mitochondrial_internal
FAM186B	HGNC:25296	Q8IYM0	cytoplasmic
FAM193B	HGNC:25524	Q96PV7	cytoplasmic
FAM199X	HGNC:25195	Q6PEV8	cytoplasmic
FAM204A	HGNC:25794	Q9H8W3	cytoplasmic
FAM216A	HGNC:30180	Q8WUB2	cytoplasmic
